epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,686.631,1.85949,1.12097,0.00621,0.7558,0.67922,0.71115,0.31191,2.0104,1.21418,0.00729,0.0017228,0.0017228,0.0017228
44,701.357,1.85932,1.08741,0.00599,0.6892,0.64829,0.65713,0.28035,2.02706,1.45684,0.00736,0.0017162,0.0017162,0.0017162
45,716.213,1.83678,1.17099,0.00575,0.74178,0.68773,0.72482,0.32987,1.9156,1.16986,0.00688,0.0017096,0.0017096,0.0017096
46,731.694,1.8253,1.07129,0.00594,0.71124,0.66423,0.68114,0.30439,2.01674,1.20719,0.00718,0.001703,0.001703,0.001703
47,746.095,1.8586,1.08987,0.00639,0.70689,0.68729,0.68473,0.30739,1.92039,1.19684,0.00696,0.0016964,0.0016964,0.0016964
48,761.065,1.82844,1.11785,0.00609,0.72396,0.68594,0.70483,0.32061,1.96017,1.15631,0.00704,0.0016898,0.0016898,0.0016898
49,775.848,1.81411,1.11192,0.00583,0.74666,0.69805,0.72548,0.34116,1.90309,1.11817,0.00683,0.0016832,0.0016832,0.0016832
50,790.629,1.84105,1.08851,0.00587,0.71898,0.70545,0.7175,0.32875,1.9213,1.18225,0.00689,0.0016766,0.0016766,0.0016766
51,806.504,1.78934,1.05045,0.006,0.72449,0.7189,0.71718,0.33213,1.92485,1.13804,0.00685,0.00167,0.00167,0.00167
52,822.669,1.84756,1.10713,0.00635,0.72754,0.73086,0.72749,0.33852,1.88403,1.09927,0.00684,0.0016634,0.0016634,0.0016634
53,837.189,1.80447,1.038,0.00575,0.75629,0.7041,0.71242,0.32164,1.94293,1.11365,0.00692,0.0016568,0.0016568,0.0016568
54,851.892,1.78041,1.06296,0.00581,0.67078,0.70564,0.69598,0.3092,1.98306,1.2315,0.00715,0.0016502,0.0016502,0.0016502
55,868.784,1.75884,1.06623,0.00567,0.71588,0.692,0.70285,0.31857,1.94318,1.20028,0.00696,0.0016436,0.0016436,0.0016436
56,884.363,1.87039,1.10689,0.00585,0.74046,0.66039,0.68379,0.30194,2.01135,1.22347,0.00716,0.001637,0.001637,0.001637
57,900.283,1.8143,1.03374,0.00576,0.74402,0.69401,0.71579,0.32426,1.97028,1.12706,0.00702,0.0016304,0.0016304,0.0016304
58,915.351,1.76957,1.0084,0.00574,0.72954,0.70814,0.71142,0.33031,1.9042,1.11597,0.00688,0.0016238,0.0016238,0.0016238
59,929.807,1.80714,1.06771,0.00609,0.7296,0.6846,0.69301,0.32463,1.869,1.20504,0.00674,0.0016172,0.0016172,0.0016172
60,945.955,1.73635,1.00687,0.00555,0.75977,0.66783,0.71137,0.33193,1.92657,1.10764,0.0069,0.0016106,0.0016106,0.0016106
61,961.037,1.80832,1.05225,0.00568,0.73597,0.70107,0.71356,0.32239,1.92352,1.21217,0.00689,0.001604,0.001604,0.001604
62,976.419,1.85973,1.08105,0.0063,0.73887,0.71083,0.71695,0.32937,1.92223,1.09729,0.00676,0.0015974,0.0015974,0.0015974
63,991.272,1.79072,1.03314,0.00556,0.7755,0.70851,0.74694,0.34806,1.89029,1.09427,0.00676,0.0015908,0.0015908,0.0015908
64,1006.78,1.79425,1.0474,0.00572,0.716,0.66375,0.68956,0.31018,1.9422,1.23195,0.00701,0.0015842,0.0015842,0.0015842
65,1021.34,1.7668,0.99114,0.00548,0.74922,0.71822,0.72639,0.34529,1.87179,1.07938,0.00667,0.0015776,0.0015776,0.0015776
66,1035.83,1.7399,0.9778,0.00553,0.74627,0.72293,0.73756,0.3433,1.90772,1.13102,0.0067,0.001571,0.001571,0.001571
67,1050.36,1.73724,1.02219,0.00565,0.69392,0.72159,0.69116,0.30354,1.94718,1.19053,0.00708,0.0015644,0.0015644,0.0015644
68,1065.23,1.77491,1.06538,0.00624,0.74342,0.70729,0.71919,0.32896,1.89441,1.14834,0.00668,0.0015578,0.0015578,0.0015578
69,1079.96,1.7126,1.01589,0.00571,0.76241,0.70276,0.73992,0.34463,1.90675,1.10159,0.00684,0.0015512,0.0015512,0.0015512
70,1094.44,1.75873,0.9827,0.00551,0.72223,0.70948,0.70789,0.30992,1.93502,1.28856,0.00692,0.0015446,0.0015446,0.0015446
71,1108.84,1.74357,0.9736,0.00571,0.73645,0.70658,0.71498,0.33343,1.90645,1.12636,0.00679,0.001538,0.001538,0.001538
72,1125.49,1.75713,0.99066,0.00544,0.77474,0.71217,0.74387,0.35232,1.87538,1.0848,0.00665,0.0015314,0.0015314,0.0015314
73,1140.52,1.78635,1.01969,0.00567,0.75249,0.69104,0.72334,0.32649,1.90997,1.16262,0.00679,0.0015248,0.0015248,0.0015248
74,1155.03,1.7491,1.06754,0.00602,0.75769,0.69334,0.72079,0.32403,1.94466,1.12522,0.00686,0.0015182,0.0015182,0.0015182
75,1170.66,1.76844,1.02276,0.00575,0.80204,0.6975,0.74502,0.35759,1.8933,1.04336,0.00677,0.0015116,0.0015116,0.0015116
76,1185.8,1.72159,0.95119,0.00579,0.77349,0.71486,0.74428,0.34792,1.89746,1.07368,0.0068,0.001505,0.001505,0.001505
77,1201.22,1.78082,0.95806,0.0057,0.76687,0.72557,0.75039,0.35642,1.88344,1.07675,0.00666,0.0014984,0.0014984,0.0014984
78,1216.54,1.75191,1.00761,0.00553,0.77936,0.71957,0.74958,0.35004,1.87793,1.11705,0.0067,0.0014918,0.0014918,0.0014918
79,1231.43,1.72511,0.96445,0.00556,0.7448,0.69478,0.71679,0.32552,1.93107,1.14561,0.00686,0.0014852,0.0014852,0.0014852
80,1248.01,1.77293,1.00649,0.00565,0.75549,0.71419,0.74041,0.34316,1.9095,1.10864,0.00676,0.0014786,0.0014786,0.0014786
81,1262.57,1.73984,0.96528,0.00576,0.7434,0.73235,0.74442,0.34999,1.88799,1.05332,0.00669,0.001472,0.001472,0.001472
82,1277.4,1.69022,0.93976,0.00542,0.77708,0.73436,0.75607,0.35616,1.8821,1.04175,0.00666,0.0014654,0.0014654,0.0014654
83,1294.78,1.71512,0.96465,0.00546,0.77656,0.74792,0.75854,0.35609,1.85519,1.05675,0.00658,0.0014588,0.0014588,0.0014588
84,1311.92,1.67203,0.91377,0.00548,0.74068,0.72226,0.73638,0.34146,1.89094,1.14009,0.00673,0.0014522,0.0014522,0.0014522
85,1329.95,1.69941,0.92449,0.00562,0.75401,0.7359,0.74277,0.34282,1.90991,1.11379,0.00675,0.0014456,0.0014456,0.0014456
86,1348.45,1.73216,0.93742,0.00569,0.79372,0.71678,0.74844,0.35983,1.88959,1.05458,0.0066,0.001439,0.001439,0.001439
