Base Architecture,Experiment / Method,Train Domain,Test Domain,mAP,mAP@50,mAP@75,mAP_s,mAP_m,mAP_l,,,,
YOLOv26s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,61.9,,,,,Seed 0,train 640x640 test img 640x640,,
YOLOv26s,Lower Bound (RGB Extraction - Fold 3),RGB,HSI,,55.9,,,,,Seed 0,train 640x640 test img 640x640,,
YOLOv26s,Lower Bound (RGB Extraction),RGB,HSI,,60.43 ± 3.98%,,,,,Seed 0,train 640x640 test img 640x640,,eval_yolo26.py
,,,,,,,,,,,,,
RT-DETR,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,51.4,,,,,Seed 0,train 640x640 test img 640x640,,
RT-DETR,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,54.7,,,,,Seed 0,train 640x640 test img 640x640,,
RT-DETR,Lower Bound (RGB Extraction - Fold 3),RGB,HSI,,56.8,,,,,Seed 0,train 640x640 test img 640x640,,
RT-DETR,Lower Bound (RGB Extraction),RGB,HSI,,54.33 ± 2.7%,,,,,Seed 0,train 640x640 test img 640x640,,eval_rtdetr.py
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PCA Extraction,,,,,,,,,,,,,
YOLOv5s,Lower Bound (PCA Extraction - Aybuke),RGB,HSI,,23.27 ± 0.5,,,,,,,,
YOLOv5s,Lower Bound (PCA Extraction - Fold 1),RGB,HSI,10.5,28.1,,,,,,,,
YOLOv5s,Lower Bound (PCA Extraction - Fold 2),RGB,HSI,,,,,,,,,,
YOLOv5s,Lower Bound (PCA Extraction - Fold 3),RGB,HSI,,,,,,,,,,
,,,,,,,,,,,,,
YOLOv5s,Upper Bound (RGB Extraction - Aybuke),HSI,HSI,,75.03,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,55.8,,,,,Seed 0,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,30.1,,,,,Seed 0,train 1600x1600 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,62.3,,,,,Seed 0,train 224x224 test img 224x224,,
,,,,,,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,55.3,,,,,Seed 0,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,63.4,,,,,Seed 0,train 224x224 test img 224x224,,
