Ep 4 | B 30 | Src:10.08 | Psd:9.26 | PLs:6 | AvgC:0.750 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 40 | Src:14.07 | Psd:14.77 | PLs:3 | AvgC:0.768 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 50 | Src:10.54 | Psd:18.03 | PLs:13 | AvgC:0.764 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 60 | Src:9.39 | Psd:20.36 | PLs:3 | AvgC:0.861 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 70 | Src:9.85 | Psd:19.28 | PLs:1 | AvgC:0.777 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 80 | Src:9.89 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 90 | Src:13.01 | Psd:15.94 | PLs:2 | AvgC:0.772 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 5 | B 0 | Src:8.41 | Psd:28.18 | PLs:1 | AvgC:0.911 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 10 | Src:14.09 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 20 | Src:13.47 | Psd:94.67 | PLs:1 | AvgC:0.791 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 30 | Src:10.81 | Psd:38.71 | PLs:1 | AvgC:0.779 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 40 | Src:13.24 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 50 | Src:15.17 | Psd:24.04 | PLs:1 | AvgC:0.753 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 60 | Src:12.06 | Psd:18.71 | PLs:3 | AvgC:0.757 | λ:0.013 | Conf:0.70 | LR:9.94e-05
