epoch,loss,mAP50,mAP50-95
1,8.513425101295754,1.1001100110011001e-05,2.6336178105074935e-06
2,6.126577455971029,3.7610598666704276e-06,7.249085981184028e-07
3,5.546691148912394,4.549034526157271e-05,1.40075328810683e-05
4,4.337474059193365,0.00019844563634325617,7.281460673625764e-05
5,3.676685467622774,0.00018480113650939697,6.811604870321577e-05
6,3.888789985689425,9.021117486510308e-05,1.2752490411040727e-05
7,3.372802313457253,9.416099669313547e-05,2.4860485343338757e-05
8,3.3332686026891074,4.563931290360416e-05,1.0196242040825566e-05
9,3.749832597310825,0.00016543831932204722,2.571911837703654e-05
10,3.153606321141925,0.00027253258661753246,5.8260172955892705e-05
11,3.3113470290016425,0.00017067721857884788,2.973682303386254e-05
12,3.6423656669275095,0.00022532791760852098,0.00010704338138366118
13,3.187199845709788,2.7022325945426902e-05,1.3511173750667035e-05
14,3.654161823733199,0.00010187917997395465,2.251177935895628e-05
15,3.288534774975751,6.757872246342305e-05,1.5414215677544944e-05
16,3.0193523606786163,7.992705249293602e-05,1.3130215846267436e-05
17,3.034308497223162,5.809873293375808e-05,1.0182201641643541e-05
18,2.974634214234288,7.282556693522681e-05,1.2099795826029354e-05
19,3.2055457567655914,0.00015501549584514087,3.394391847572318e-05
20,3.4673638076231046,0.00017145181514868652,2.1690961234746453e-05
21,3.328318687936952,0.00017502718768622994,2.4553374580678395e-05
22,3.293412102907095,0.00013333092218927443,4.4615196967914945e-05
23,3.110886753006007,0.009944023286824973,0.003966349171519663
24,3.044230269007785,0.00018640503374063342,4.42096276967944e-05
25,3.0463400406222187,0.0001376209949087855,2.3993894887826695e-05
26,3.1324526170488967,0.000498408525110663,5.730877588378302e-05
27,3.352974541645537,0.00019570400867857272,3.930663509333425e-05
28,3.3498493531538593,8.728069839082474e-05,1.7606248952461687e-05
29,3.1759478550764824,2.342121372519656e-05,4.156870688579469e-06
30,3.6856586895883083,0.00016040030624883217,3.223733095503777e-05
31,3.087477269832806,0.0002958678721676547,3.6750088090031145e-05
32,3.1306625848175376,0.00013538080259967348,3.406402870726701e-05
33,3.0105069630168457,0.0004059188596967859,0.00014688341408545565
34,3.001027031210802,0.00011593629375002422,2.2604495068081665e-05
35,3.275071561016062,0.00017125159872776152,4.2553505560308865e-05
36,3.0463615777671977,0.0004962698014864762,8.78101282887494e-05
37,2.973748586591213,0.00013130724174090813,1.672383113483329e-05
38,3.0458270302142507,2.6748253748191854e-05,5.847164385596373e-06
39,3.082789087007123,3.297791698888122e-05,6.7160754823816245e-06
40,3.0991319743215398,5.054749252844875e-05,8.627727775599073e-06
41,3.055591957223031,9.375937593759377e-06,2.5900952807803022e-06
42,2.954763271795806,4.8331626356286e-05,9.965043646547783e-06
43,3.0946188801999694,6.183978451737797e-05,1.1708690015070982e-05
44,3.2326438773864057,6.229056514054844e-05,1.3151699405515835e-05
45,2.9446724365635584,0.0002603846652917618,3.3448534450979216e-05
46,2.857770379512541,0.00033858063838816,8.467805867798752e-05
47,2.9050541991988816,0.00016772484882609056,1.9869753061291374e-05
48,3.30161053495061,0.0016765911466591497,0.000500483246601014
49,2.977881297469139,0.00016176594577021084,3.112009993628513e-05
50,3.022734654045874,0.00016207054297568272,3.402716014987041e-05
51,2.888805971070323,0.0007223863470226747,7.673680961554423e-05
52,3.051046927048955,3.55617722801912e-05,7.44971238189561e-06
53,3.140531456758899,0.0004232239521589798,0.0001620619271180337
54,3.015348699524678,4.920426607741848e-05,9.448918951476173e-06
55,2.963955236218309,0.00011485301065487803,2.3759600276459633e-05
56,2.9829503047850823,7.678386250899939e-05,1.30003406123019e-05
57,2.874679459158772,0.0002229095155002455,2.5418402424799623e-05
58,2.8937837311256955,0.00011259995308704243,2.050368475453467e-05
59,2.964018372598515,5.661211495395241e-05,1.1487771825130662e-05
60,2.931679148026692,3.86380957712835e-05,7.009817738409986e-06
61,2.937156088209601,0.00013630327328392714,2.2364272065185418e-05
62,3.1715632576134896,9.68095406976766e-05,1.686036393718368e-05
63,2.9906414120748477,0.0001009515879463747,1.7498431743668507e-05
64,3.005714402323769,0.00020096480698702883,3.4445010787347374e-05
65,2.8867624888737358,0.00013688556977330357,2.1734859108560254e-05
66,3.01578977680014,9.794630438685791e-05,1.6026746150293192e-05
67,3.137101155054826,0.000176316681619178,4.645241320236547e-05
68,2.916576317882025,0.00021770765739286484,3.367716812378024e-05
69,2.9978622182482675,0.00037083825938792966,5.4015924625896393e-05
70,2.887614707833016,0.000571338706911503,0.0001689025288104118
