epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1228,1.65393,1.59289,0.55307,0.00297,0.20662,0.01059,0.00216,1.3753,0.57593,0.43555,3.31541e-05,3.31541e-05,0.066879
2,176.034,1.12578,0.86016,0.3117,0.0075,0.52122,0.03912,0.0118,0.85498,1.14736,0.24886,6.6268e-05,6.6268e-05,0.0335788
3,262.884,1.0585,0.90854,0.29501,0.01917,0.52747,0.04576,0.0131,0.85743,1.04403,0.2289,9.9162e-05,9.9162e-05,0.000278373
4,349.27,0.9082,0.94619,0.23241,0.04018,0.60647,0.05429,0.01922,0.71099,1.14164,0.19249,9.901e-05,9.901e-05,9.901e-05
5,436.08,0.84027,1.02138,0.20744,0.03939,0.73159,0.05994,0.02354,0.67238,1.11104,0.17028,9.868e-05,9.868e-05,9.868e-05
6,523.098,0.83073,0.95851,0.19967,0.04976,0.70724,0.0582,0.02477,0.64829,1.05472,0.15483,9.835e-05,9.835e-05,9.835e-05
7,610.221,0.74461,1.05887,0.16682,0.06474,0.63109,0.06787,0.02767,0.62735,1.04425,0.14863,9.802e-05,9.802e-05,9.802e-05
8,696.981,0.7676,0.96899,0.16033,0.07447,0.69164,0.09312,0.03849,0.57977,1.07411,0.12556,9.769e-05,9.769e-05,9.769e-05
9,783.73,0.75523,0.9611,0.17884,0.09042,0.65543,0.10858,0.04902,0.57712,1.0475,0.12432,9.736e-05,9.736e-05,9.736e-05
10,870.369,0.72536,0.97854,0.15913,0.10929,0.55493,0.12736,0.0566,0.57476,1.03658,0.13431,9.703e-05,9.703e-05,9.703e-05
11,957.379,0.68878,0.96895,0.15357,0.11222,0.58552,0.12922,0.05781,0.55943,1.06577,0.12936,9.67e-05,9.67e-05,9.67e-05
12,1044.32,0.68005,1.00722,0.13926,0.1229,0.57553,0.14431,0.06369,0.55652,1.01203,0.12772,9.637e-05,9.637e-05,9.637e-05
13,1131.68,0.67748,0.95809,0.13527,0.15,0.50499,0.16095,0.07237,0.56158,1.01199,0.12476,9.604e-05,9.604e-05,9.604e-05
14,1219.03,0.64898,1.00321,0.14027,0.13063,0.55618,0.15665,0.068,0.54178,1.0604,0.11668,9.571e-05,9.571e-05,9.571e-05
15,1304.92,0.68714,0.93485,0.14422,0.16028,0.57615,0.18367,0.08323,0.51535,1.05123,0.10475,9.538e-05,9.538e-05,9.538e-05
16,1391.36,0.65201,0.92779,0.1343,0.16371,0.54682,0.18491,0.08267,0.52318,1.03103,0.10772,9.505e-05,9.505e-05,9.505e-05
17,1477.57,0.6696,0.9334,0.1373,0.17111,0.50749,0.18311,0.08147,0.51573,1.02026,0.10869,9.472e-05,9.472e-05,9.472e-05
18,1563.8,0.6751,0.92323,0.14038,0.1667,0.54245,0.18414,0.08747,0.49794,1.04559,0.09857,9.439e-05,9.439e-05,9.439e-05
19,1651.24,0.6457,0.94723,0.1257,0.17025,0.5232,0.18467,0.08317,0.52674,1.05374,0.10925,9.406e-05,9.406e-05,9.406e-05
20,1736.92,0.6371,0.95099,0.13428,0.16927,0.52747,0.18477,0.08502,0.50645,1.06634,0.10614,9.373e-05,9.373e-05,9.373e-05
21,1823.21,0.62111,0.9683,0.12284,0.17646,0.45818,0.18341,0.0825,0.52037,1.01285,0.11238,9.34e-05,9.34e-05,9.34e-05
22,1909.3,0.62051,0.94206,0.12233,0.15684,0.50437,0.16548,0.07967,0.50715,1.04477,0.10551,9.307e-05,9.307e-05,9.307e-05
23,1995.01,0.60503,0.94062,0.11924,0.17855,0.5025,0.1861,0.08908,0.50065,1.01371,0.10068,9.274e-05,9.274e-05,9.274e-05
24,2081.93,0.60854,0.94299,0.12415,0.17977,0.46005,0.17883,0.08492,0.49847,1.00165,0.09901,9.241e-05,9.241e-05,9.241e-05
25,2168.54,0.60396,0.94082,0.11679,0.1776,0.45943,0.1764,0.08509,0.51345,1.00395,0.11499,9.208e-05,9.208e-05,9.208e-05
26,2254.92,0.58254,0.9837,0.11451,0.17819,0.46396,0.18483,0.08943,0.49272,1.01007,0.09955,9.175e-05,9.175e-05,9.175e-05
27,2341.86,0.60119,0.93651,0.10974,0.17568,0.53683,0.19251,0.09334,0.48363,1.05152,0.09625,9.142e-05,9.142e-05,9.142e-05
28,2428.86,0.59276,0.96505,0.11316,0.16773,0.55056,0.18573,0.09133,0.48803,1.00275,0.09981,9.109e-05,9.109e-05,9.109e-05
29,2514.76,0.57182,0.98327,0.11428,0.19962,0.55181,0.22015,0.10662,0.4779,0.99281,0.09997,9.076e-05,9.076e-05,9.076e-05
30,2601.23,0.59795,0.92807,0.11816,0.18252,0.52996,0.19464,0.09003,0.4952,1.00741,0.1035,9.043e-05,9.043e-05,9.043e-05
31,2687.65,0.60016,0.92682,0.11563,0.19537,0.53184,0.2138,0.10502,0.47584,0.97769,0.0974,9.01e-05,9.01e-05,9.01e-05
32,2773.99,0.57791,0.95136,0.11482,0.19454,0.54619,0.19885,0.09988,0.49835,1.01803,0.11319,8.977e-05,8.977e-05,8.977e-05
33,2859.93,0.54082,0.94356,0.10142,0.21712,0.54931,0.23199,0.11482,0.49331,0.97151,0.11441,8.944e-05,8.944e-05,8.944e-05
34,2946.96,0.57436,0.92998,0.11325,0.1887,0.60924,0.20614,0.10363,0.50753,1.00098,0.11382,8.911e-05,8.911e-05,8.911e-05
35,3033.58,0.5818,0.92561,0.10922,0.21037,0.5593,0.22288,0.11172,0.4872,0.93743,0.10403,8.878e-05,8.878e-05,8.878e-05
36,3119.43,0.58939,0.91642,0.1071,0.20268,0.56408,0.20816,0.10805,0.48794,0.94848,0.1116,8.845e-05,8.845e-05,8.845e-05
37,3205.31,0.578,0.91119,0.10572,0.20679,0.58052,0.23605,0.12332,0.48664,0.98415,0.10584,8.812e-05,8.812e-05,8.812e-05
38,3292.33,0.57311,0.87104,0.10922,0.23992,0.59738,0.24911,0.12431,0.51251,0.85868,0.11464,8.779e-05,8.779e-05,8.779e-05
39,3379.3,0.55282,0.86449,0.10225,0.25495,0.57553,0.26678,0.13694,0.50488,0.87194,0.11171,8.746e-05,8.746e-05,8.746e-05
40,3466.12,0.56118,0.83393,0.11426,0.31883,0.56391,0.31851,0.16373,0.54401,0.77688,0.12389,8.713e-05,8.713e-05,8.713e-05
41,3552.97,0.60711,0.76789,0.11311,0.33296,0.55368,0.35293,0.1864,0.53845,0.77111,0.11986,8.68e-05,8.68e-05,8.68e-05
42,3639.82,0.62626,0.73012,0.12287,0.40448,0.58427,0.45943,0.23876,0.54715,0.72525,0.11443,8.647e-05,8.647e-05,8.647e-05
43,3727.16,0.61452,0.65747,0.11681,0.51053,0.66105,0.56706,0.28709,0.56803,0.58408,0.11776,8.614e-05,8.614e-05,8.614e-05
44,3814.01,0.63839,0.56469,0.12309,0.54025,0.67117,0.596,0.29636,0.57796,0.56118,0.12475,8.581e-05,8.581e-05,8.581e-05
45,3901.29,0.66936,0.53586,0.12648,0.53748,0.69725,0.60385,0.29929,0.58319,0.54039,0.1263,8.548e-05,8.548e-05,8.548e-05
46,3988.31,0.62321,0.55318,0.11873,0.63177,0.69101,0.65357,0.31671,0.58243,0.5393,0.12611,8.515e-05,8.515e-05,8.515e-05
47,4075.08,0.61896,0.58921,0.12027,0.58462,0.69538,0.62412,0.30601,0.58727,0.55138,0.12852,8.482e-05,8.482e-05,8.482e-05
48,4161.22,0.60787,0.56678,0.11369,0.51953,0.66916,0.57679,0.28487,0.58534,0.55401,0.12644,8.449e-05,8.449e-05,8.449e-05
49,4246.91,0.62786,0.5623,0.11571,0.554,0.70037,0.61793,0.30758,0.57532,0.53441,0.12094,8.416e-05,8.416e-05,8.416e-05
