epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,56.999,2.28713,1.56706,0.02337,0.05452,0.56174,0.36651,0.44426,0.2209,2.42044,1.26169,0.02965,0.01177,0.00213227,0.00213227,0.0767179
2,74.4247,2.2937,1.16936,0.02387,0.00268,0.45402,0.48218,0.39395,0.16969,2.41276,1.24681,0.02833,0.00161,0.00422553,0.00422553,0.0528443
3,91.6329,2.26385,1.19846,0.02494,0.0022,0.29629,0.31655,0.23271,0.09531,nan,nan,nan,nan,0.00623252,0.00623252,0.0288845
4,108.963,2.28505,1.24847,0.0229,0.00153,0.50996,0.48554,0.47076,0.22396,2.20921,1.80371,0.0283,0.00117,0.00789163,0.00789163,0.00789163
5,126.747,2.24098,1.18421,0.0249,0.00128,0.52077,0.47411,0.46191,0.21747,2.36831,1.88508,0.03017,0.00055,0.00772551,0.00772551,0.00772551
6,144.171,2.19513,1.15651,0.02358,0.002,0.3448,0.35709,0.25013,0.11204,2.45731,3.6616,0.02798,0.0027,0.00755939,0.00755939,0.00755939
7,161.305,2.14751,1.18389,0.0232,0.00066,0.4045,0.38188,0.34442,0.1529,2.48459,3.30423,0.03352,0.00051,0.00739327,0.00739327,0.00739327
8,178.209,2.1405,1.12023,0.02389,0.00058,0.65328,0.47142,0.56095,0.29268,2.08046,1.06799,0.02551,0.00194,0.00722715,0.00722715,0.00722715
9,195.525,2.09258,0.992,0.02266,0.00077,0.67642,0.51446,0.58659,0.33253,1.97749,1.00613,0.02713,0.00012,0.00706102,0.00706102,0.00706102
10,212.809,1.9876,0.98488,0.02277,0.00058,0.59516,0.5575,0.57655,0.31241,2.03494,1.31023,0.02388,0.00093,0.0068949,0.0068949,0.0068949
11,230.138,2.04753,1.02749,0.02534,0.00128,0.5795,0.53476,0.55895,0.30783,1.99412,nan,0.02628,0.00155,0.00672878,0.00672878,0.00672878
12,247.013,1.94895,0.93345,0.02197,0.00034,0.5693,0.4694,0.49246,0.2429,2.49032,1.15369,0.02521,0.00059,0.00656266,0.00656266,0.00656266
13,263.828,1.939,0.85996,0.02506,0.00031,0.7193,0.60054,0.68296,0.38385,1.98871,0.81486,0.0263,0.00032,0.00639654,0.00639654,0.00639654
14,280.984,1.91559,0.8519,0.02118,0.0002,0.6555,0.59516,0.66976,0.387,1.88565,0.76434,0.0246,0.0004,0.00623041,0.00623041,0.00623041
15,298.516,1.9046,0.85991,0.0228,0.00057,0.71985,0.56355,0.65003,0.37613,1.86126,0.86985,0.02562,0.00095,0.00606429,0.00606429,0.00606429
16,315.282,1.85341,0.83618,0.02504,0.00028,0.70516,0.64014,0.7093,0.42876,1.77753,0.71304,0.0247,0.00032,0.00589817,0.00589817,0.00589817
