               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.056913,            0.021758,                   0,             0.80598,             0.70911,               0.761,             0.34916,            0.048739,             0.01844,                   0,             0.00886,             0.00886,             0.00886
                  40,            0.055729,            0.019708,                   0,             0.83626,             0.68477,             0.76505,             0.35784,            0.048923,            0.018207,                   0,             0.00883,             0.00883,             0.00883
                  41,            0.055782,            0.022066,                   0,             0.80286,             0.68727,             0.73981,             0.35228,            0.048395,            0.019072,                   0,              0.0088,              0.0088,              0.0088
                  42,            0.053811,            0.020232,                   0,             0.80683,             0.70162,             0.75272,              0.3618,            0.047672,            0.018785,                   0,             0.00877,             0.00877,             0.00877
                  43,            0.054689,            0.020945,                   0,             0.82201,             0.70051,             0.75652,             0.35804,            0.047281,            0.018384,                   0,             0.00874,             0.00874,             0.00874
                  44,            0.054677,            0.020964,                   0,             0.80004,             0.72179,             0.77765,             0.36803,             0.04689,             0.01759,                   0,             0.00871,             0.00871,             0.00871
                  45,            0.053604,            0.021106,                   0,             0.82094,             0.70117,             0.76466,             0.35739,            0.048311,            0.018219,                   0,             0.00868,             0.00868,             0.00868
                  46,             0.05406,            0.020576,                   0,             0.82034,             0.71848,              0.7821,             0.36646,            0.047115,            0.017669,                   0,             0.00865,             0.00865,             0.00865
                  47,            0.054441,            0.019435,                   0,             0.82172,             0.70488,             0.76936,             0.36993,            0.046387,            0.018256,                   0,             0.00862,             0.00862,             0.00862
                  48,            0.054744,            0.020782,                   0,             0.82867,             0.70662,              0.7741,              0.3647,            0.047209,             0.01785,                   0,             0.00859,             0.00859,             0.00859
                  49,            0.053869,            0.020113,                   0,             0.82192,             0.69288,             0.76009,              0.3531,            0.047647,            0.018205,                   0,             0.00856,             0.00856,             0.00856
                  50,            0.054371,            0.018994,                   0,             0.80915,             0.71719,             0.77051,             0.36802,            0.047755,            0.018596,                   0,             0.00853,             0.00853,             0.00853
                  51,            0.054223,            0.020205,                   0,             0.83956,             0.70227,             0.78207,             0.37341,            0.048299,            0.017743,                   0,              0.0085,              0.0085,              0.0085
                  52,             0.05377,            0.021907,                   0,             0.83151,             0.71162,             0.78162,             0.37372,            0.047432,            0.017718,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.052785,            0.021744,                   0,             0.82731,             0.72222,             0.78101,             0.37926,            0.046756,             0.01772,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.053192,            0.021551,                   0,             0.83604,             0.68749,             0.76888,             0.36715,            0.047351,            0.018246,                   0,             0.00841,             0.00841,             0.00841
                  55,            0.054935,             0.02423,                   0,             0.81869,             0.71473,             0.76453,             0.36634,            0.047126,            0.018141,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.054638,            0.019053,                   0,             0.80771,             0.69788,             0.76206,             0.36751,            0.047637,             0.01806,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.054957,            0.020948,                   0,             0.84398,             0.70974,             0.76959,             0.36936,            0.047257,            0.018335,                   0,             0.00832,             0.00832,             0.00832
                  58,            0.054326,            0.020466,                   0,             0.80991,             0.71598,             0.77302,             0.37281,            0.046922,            0.017686,                   0,             0.00829,             0.00829,             0.00829
                  59,            0.053924,            0.020426,                   0,             0.81346,             0.71536,             0.76691,             0.36264,            0.047585,             0.01786,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.052783,            0.021772,                   0,              0.8152,             0.72409,             0.77332,             0.36956,            0.046803,            0.018412,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.053055,            0.020873,                   0,             0.82274,             0.72035,             0.76953,             0.36551,            0.047894,            0.017756,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.052772,            0.021665,                   0,             0.83486,             0.71321,             0.76854,             0.36639,            0.046766,            0.017683,                   0,             0.00817,             0.00817,             0.00817
                  63,             0.05313,            0.020547,                   0,             0.82585,             0.73283,             0.79313,              0.3805,             0.04626,              0.0175,                   0,             0.00814,             0.00814,             0.00814
                  64,            0.053974,            0.021095,                   0,             0.82293,             0.72524,             0.78577,             0.38276,            0.045847,            0.017589,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.053587,            0.021886,                   0,             0.82557,             0.71598,             0.77856,              0.3714,            0.046617,            0.017719,                   0,             0.00808,             0.00808,             0.00808
                  66,            0.054215,             0.02312,                   0,                0.81,              0.7216,             0.77378,              0.3701,            0.046766,            0.017951,                   0,             0.00805,             0.00805,             0.00805
                  67,             0.05387,            0.019185,                   0,             0.83355,             0.71473,             0.78151,             0.37699,            0.045647,            0.018274,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.052724,            0.021216,                   0,             0.84007,             0.73096,             0.80078,             0.39094,            0.045655,            0.017476,                   0,             0.00799,             0.00799,             0.00799
                  69,             0.05215,            0.020446,                   0,             0.86512,             0.71666,             0.79984,             0.38451,            0.045718,            0.017446,                   0,             0.00796,             0.00796,             0.00796
                  70,            0.053317,            0.022058,                   0,             0.83592,             0.74095,             0.79325,             0.38504,            0.045747,            0.017496,                   0,             0.00793,             0.00793,             0.00793
                  71,            0.054267,            0.021076,                   0,             0.83848,             0.73596,             0.80842,             0.37938,            0.046085,            0.017408,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.052738,            0.019624,                   0,             0.84478,             0.73533,             0.80207,             0.38781,            0.045597,            0.017447,                   0,             0.00787,             0.00787,             0.00787
                  73,            0.052912,            0.021195,                   0,             0.82817,             0.71286,             0.79712,             0.38166,            0.046227,            0.017424,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.053387,            0.020526,                   0,             0.83087,             0.73599,             0.80085,             0.38993,            0.046371,            0.017168,                   0,             0.00781,             0.00781,             0.00781
                  75,            0.053878,            0.020181,                   0,             0.81385,             0.75343,             0.80674,             0.38979,            0.046178,            0.017259,                   0,             0.00778,             0.00778,             0.00778
