Ep 5 | B 0 | Src:13.68 | Psd:37.10 | PLs:23 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 10 | Src:14.88 | Psd:38.72 | PLs:21 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 20 | Src:16.88 | Psd:35.71 | PLs:25 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 30 | Src:15.14 | Psd:34.69 | PLs:23 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 40 | Src:19.18 | Psd:28.28 | PLs:21 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 50 | Src:14.59 | Psd:32.04 | PLs:24 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 60 | Src:14.37 | Psd:51.42 | PLs:29 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 70 | Src:14.56 | Psd:45.95 | PLs:26 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 80 | Src:14.27 | Psd:46.53 | PLs:25 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 5 | B 90 | Src:19.29 | Psd:46.29 | PLs:27 | λ:0.250 | Conf:0.68 | LR:1.99e-03
Ep 6 | B 0 | Src:10.44 | Psd:50.80 | PLs:28 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 10 | Src:17.31 | Psd:47.38 | PLs:27 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 20 | Src:16.86 | Psd:53.67 | PLs:26 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 30 | Src:12.35 | Psd:53.02 | PLs:26 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 40 | Src:21.50 | Psd:48.94 | PLs:27 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 50 | Src:13.17 | Psd:51.90 | PLs:25 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 60 | Src:14.19 | Psd:43.29 | PLs:19 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 70 | Src:18.49 | Psd:42.73 | PLs:17 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 80 | Src:17.47 | Psd:26.43 | PLs:9 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 6 | B 90 | Src:18.37 | Psd:53.27 | PLs:27 | λ:0.300 | Conf:0.68 | LR:1.98e-03
Ep 7 | B 0 | Src:14.14 | Psd:50.83 | PLs:26 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 10 | Src:16.47 | Psd:50.36 | PLs:26 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 20 | Src:14.79 | Psd:45.42 | PLs:26 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 30 | Src:18.18 | Psd:42.20 | PLs:24 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 40 | Src:12.71 | Psd:42.15 | PLs:23 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 50 | Src:15.91 | Psd:38.90 | PLs:10 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 60 | Src:17.13 | Psd:49.74 | PLs:20 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 70 | Src:16.26 | Psd:48.94 | PLs:26 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 80 | Src:16.47 | Psd:46.22 | PLs:20 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 7 | B 90 | Src:16.43 | Psd:48.53 | PLs:21 | λ:0.350 | Conf:0.67 | LR:1.98e-03
Ep 8 | B 0 | Src:20.54 | Psd:44.30 | PLs:19 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 10 | Src:13.22 | Psd:47.88 | PLs:25 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 20 | Src:17.34 | Psd:46.02 | PLs:23 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 30 | Src:14.07 | Psd:50.96 | PLs:24 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 40 | Src:12.54 | Psd:47.88 | PLs:28 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 50 | Src:22.67 | Psd:55.54 | PLs:29 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 60 | Src:11.58 | Psd:52.51 | PLs:27 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 70 | Src:15.04 | Psd:52.46 | PLs:28 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 80 | Src:19.03 | Psd:43.65 | PLs:21 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 8 | B 90 | Src:11.11 | Psd:35.59 | PLs:22 | λ:0.400 | Conf:0.67 | LR:1.97e-03
Ep 9 | B 0 | Src:14.85 | Psd:42.09 | PLs:17 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 10 | Src:13.42 | Psd:36.59 | PLs:19 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 20 | Src:15.71 | Psd:44.31 | PLs:26 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 30 | Src:15.46 | Psd:52.27 | PLs:28 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 40 | Src:15.35 | Psd:50.94 | PLs:27 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 50 | Src:11.35 | Psd:47.95 | PLs:25 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 60 | Src:18.39 | Psd:50.62 | PLs:26 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 70 | Src:18.84 | Psd:54.53 | PLs:26 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 80 | Src:13.43 | Psd:49.76 | PLs:25 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 9 | B 90 | Src:25.38 | Psd:42.52 | PLs:23 | λ:0.450 | Conf:0.66 | LR:1.96e-03
Ep 10 | B 0 | Src:19.62 | Psd:41.41 | PLs:23 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 10 | Src:15.39 | Psd:39.18 | PLs:21 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 20 | Src:12.92 | Psd:33.93 | PLs:22 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 30 | Src:17.46 | Psd:41.66 | PLs:22 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 40 | Src:13.99 | Psd:38.61 | PLs:22 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 50 | Src:17.09 | Psd:42.86 | PLs:21 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 60 | Src:16.00 | Psd:51.88 | PLs:25 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 70 | Src:18.19 | Psd:46.34 | PLs:22 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 80 | Src:17.63 | Psd:40.43 | PLs:20 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 10 | B 90 | Src:13.47 | Psd:44.03 | PLs:23 | λ:0.500 | Conf:0.66 | LR:1.95e-03
Ep 11 | B 0 | Src:14.36 | Psd:47.89 | PLs:28 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 10 | Src:16.54 | Psd:45.38 | PLs:35 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 20 | Src:19.71 | Psd:40.63 | PLs:34 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 30 | Src:17.99 | Psd:41.83 | PLs:27 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 40 | Src:18.32 | Psd:37.91 | PLs:26 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 50 | Src:18.05 | Psd:42.89 | PLs:26 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 60 | Src:15.59 | Psd:41.37 | PLs:22 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 70 | Src:12.13 | Psd:39.07 | PLs:23 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 80 | Src:13.46 | Psd:43.64 | PLs:28 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 11 | B 90 | Src:15.79 | Psd:55.12 | PLs:25 | λ:0.550 | Conf:0.66 | LR:1.94e-03
Ep 12 | B 0 | Src:15.18 | Psd:45.94 | PLs:28 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 10 | Src:16.31 | Psd:53.80 | PLs:28 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 20 | Src:16.40 | Psd:49.31 | PLs:29 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 30 | Src:14.62 | Psd:43.85 | PLs:31 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 40 | Src:19.82 | Psd:48.59 | PLs:28 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 50 | Src:16.89 | Psd:45.41 | PLs:29 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 60 | Src:13.61 | Psd:43.14 | PLs:31 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 70 | Src:15.71 | Psd:56.04 | PLs:29 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 80 | Src:14.78 | Psd:55.54 | PLs:30 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 12 | B 90 | Src:13.09 | Psd:52.54 | PLs:29 | λ:0.600 | Conf:0.65 | LR:1.93e-03
Ep 13 | B 0 | Src:15.89 | Psd:50.80 | PLs:27 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 10 | Src:12.85 | Psd:52.51 | PLs:25 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 20 | Src:20.93 | Psd:45.09 | PLs:24 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 30 | Src:28.66 | Psd:45.54 | PLs:23 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 40 | Src:12.82 | Psd:41.54 | PLs:23 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 50 | Src:18.78 | Psd:50.09 | PLs:24 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 60 | Src:14.51 | Psd:47.51 | PLs:27 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 70 | Src:21.73 | Psd:52.08 | PLs:29 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 80 | Src:18.63 | Psd:47.59 | PLs:26 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 13 | B 90 | Src:12.46 | Psd:42.10 | PLs:23 | λ:0.650 | Conf:0.65 | LR:1.92e-03
Ep 14 | B 0 | Src:13.73 | Psd:45.82 | PLs:24 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 10 | Src:13.34 | Psd:40.44 | PLs:27 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 20 | Src:17.96 | Psd:49.19 | PLs:23 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 30 | Src:18.00 | Psd:44.71 | PLs:26 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 40 | Src:12.92 | Psd:54.09 | PLs:28 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 50 | Src:12.54 | Psd:16.77 | PLs:10 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 60 | Src:17.52 | Psd:50.15 | PLs:26 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 70 | Src:11.78 | Psd:40.84 | PLs:26 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 80 | Src:12.91 | Psd:40.05 | PLs:23 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 14 | B 90 | Src:13.69 | Psd:51.03 | PLs:25 | λ:0.700 | Conf:0.64 | LR:1.91e-03
Ep 15 | B 0 | Src:16.36 | Psd:48.80 | PLs:25 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 10 | Src:13.62 | Psd:43.76 | PLs:21 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 20 | Src:19.82 | Psd:34.44 | PLs:18 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 30 | Src:16.02 | Psd:47.93 | PLs:26 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 40 | Src:16.49 | Psd:46.34 | PLs:24 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 50 | Src:17.10 | Psd:48.85 | PLs:25 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 60 | Src:17.15 | Psd:46.28 | PLs:25 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 70 | Src:19.77 | Psd:42.55 | PLs:25 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 80 | Src:15.91 | Psd:48.87 | PLs:25 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 15 | B 90 | Src:13.02 | Psd:41.85 | PLs:25 | λ:0.750 | Conf:0.64 | LR:1.89e-03
Ep 16 | B 0 | Src:17.06 | Psd:48.79 | PLs:24 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 10 | Src:14.07 | Psd:47.74 | PLs:19 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 20 | Src:12.43 | Psd:46.67 | PLs:17 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 30 | Src:13.40 | Psd:42.78 | PLs:18 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 40 | Src:16.84 | Psd:43.35 | PLs:23 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 50 | Src:12.86 | Psd:45.85 | PLs:22 | λ:0.800 | Conf:0.64 | LR:1.88e-03
