epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3364,1.68748,0.75814,0.52609,0.00069,0.05189,0.00053,7e-05,1.4461,0.56928,0.39727,3.31541e-05,3.31541e-05,0.066879
2,180.378,1.38874,0.57733,0.35666,0.00523,0.39151,0.03149,0.00622,1.1205,0.89045,0.25977,6.6268e-05,6.6268e-05,0.0335788
3,266.888,1.25317,0.69554,0.29139,0.00631,0.4717,0.03832,0.00974,1.07624,0.94162,0.25399,9.9162e-05,9.9162e-05,0.000278373
4,353.561,1.24051,0.65298,0.26841,0.0092,0.68801,0.05789,0.01694,0.84645,1.16836,0.19385,9.901e-05,9.901e-05,9.901e-05
5,439.957,0.93519,0.95564,0.19839,0.01255,0.8066,0.06264,0.02026,0.71393,1.31408,0.16045,9.868e-05,9.868e-05,9.868e-05
6,526.32,0.88403,1.00659,0.18477,0.04997,0.74663,0.0685,0.02265,0.73639,1.30973,0.15725,9.835e-05,9.835e-05,9.835e-05
7,613.107,0.85116,0.97483,0.19715,0.06347,0.75135,0.08052,0.03085,0.64525,1.10939,0.14173,9.802e-05,9.802e-05,9.802e-05
8,699.294,0.78417,0.93877,0.15643,0.07483,0.69677,0.08208,0.03586,0.58495,1.07891,0.12871,9.769e-05,9.769e-05,9.769e-05
9,785.495,0.71494,0.96872,0.14621,0.08238,0.59771,0.09615,0.03761,0.63047,0.97042,0.14068,9.736e-05,9.736e-05,9.736e-05
10,871.884,0.74336,0.91959,0.15064,0.09676,0.52291,0.10738,0.04782,0.58022,0.94642,0.11252,9.703e-05,9.703e-05,9.703e-05
11,958.516,0.71358,0.94985,0.13591,0.10254,0.59501,0.11703,0.05242,0.55846,0.98092,0.11794,9.67e-05,9.67e-05,9.67e-05
12,1045.38,0.70788,0.96631,0.13897,0.11918,0.57143,0.13496,0.06173,0.5483,0.95329,0.11428,9.637e-05,9.637e-05,9.637e-05
13,1131.98,0.69757,0.93561,0.13365,0.11935,0.5903,0.13419,0.05966,0.52869,0.97306,0.10968,9.604e-05,9.604e-05,9.604e-05
14,1217.46,0.68394,0.9356,0.1314,0.13075,0.5593,0.14039,0.06261,0.54198,0.96223,0.11624,9.571e-05,9.571e-05,9.571e-05
15,1304.12,0.70659,0.94744,0.13658,0.12111,0.62736,0.14486,0.06403,0.54469,1.03705,0.11544,9.538e-05,9.538e-05,9.538e-05
16,1390.85,0.63383,0.99086,0.11881,0.11922,0.62601,0.14898,0.06509,0.51684,0.98924,0.10537,9.505e-05,9.505e-05,9.505e-05
17,1477.13,0.60174,0.97387,0.11108,0.14834,0.5876,0.16254,0.07735,0.48897,0.96627,0.10313,9.472e-05,9.472e-05,9.472e-05
18,1563.93,0.6442,0.9846,0.11767,0.13793,0.5876,0.15471,0.07315,0.50363,0.9853,0.10382,9.439e-05,9.439e-05,9.439e-05
19,1649.96,0.62523,0.96646,0.11536,0.12285,0.55806,0.13879,0.06348,0.51228,0.99297,0.1058,9.406e-05,9.406e-05,9.406e-05
20,1735.87,0.64598,0.97016,0.12095,0.13572,0.5566,0.15269,0.07624,0.47704,0.9759,0.09727,9.373e-05,9.373e-05,9.373e-05
21,1821.07,0.60553,0.94382,0.11028,0.14896,0.56199,0.16526,0.07872,0.48747,0.95716,0.09635,9.34e-05,9.34e-05,9.34e-05
22,1908.2,0.62037,0.99436,0.12355,0.15004,0.51213,0.15556,0.07736,0.47269,0.97183,0.09213,9.307e-05,9.307e-05,9.307e-05
23,1993.95,0.62209,0.95599,0.10957,0.15402,0.59232,0.17582,0.08626,0.46351,0.98435,0.09518,9.274e-05,9.274e-05,9.274e-05
24,2080.46,0.60011,0.97302,0.11514,0.15912,0.58895,0.17806,0.08474,0.50451,0.94153,0.09974,9.241e-05,9.241e-05,9.241e-05
25,2166.51,0.58969,0.96323,0.10676,0.14744,0.54178,0.15785,0.07803,0.4692,0.99337,0.096,9.208e-05,9.208e-05,9.208e-05
26,2252.53,0.62727,0.94491,0.11808,0.17377,0.52898,0.17114,0.07846,0.49519,0.92845,0.09727,9.175e-05,9.175e-05,9.175e-05
27,2338.68,0.60613,0.96074,0.11984,0.15669,0.55054,0.16124,0.07491,0.49172,0.96454,0.10286,9.142e-05,9.142e-05,9.142e-05
28,2424.45,0.61442,0.91369,0.11289,0.18082,0.53841,0.19321,0.09275,0.46364,0.95349,0.09787,9.109e-05,9.109e-05,9.109e-05
29,2511.38,0.59332,0.95092,0.11149,0.20308,0.56604,0.20619,0.0946,0.47818,0.94127,0.09688,9.076e-05,9.076e-05,9.076e-05
30,2598.23,0.60926,0.89177,0.1038,0.19446,0.55375,0.20776,0.09833,0.47153,0.96927,0.10209,9.043e-05,9.043e-05,9.043e-05
31,2685.42,0.60482,0.91305,0.10804,0.22835,0.53908,0.22944,0.10917,0.47958,0.92328,0.10142,9.01e-05,9.01e-05,9.01e-05
32,2772.58,0.58033,0.92162,0.10708,0.21676,0.56806,0.22559,0.10799,0.47597,0.96258,0.09941,8.977e-05,8.977e-05,8.977e-05
33,2858.22,0.55048,0.89085,0.10183,0.27571,0.55054,0.29955,0.13989,0.50944,0.85823,0.1094,8.944e-05,8.944e-05,8.944e-05
34,2944.64,0.60763,0.85378,0.11736,0.29962,0.55866,0.32198,0.14881,0.53458,0.8074,0.1078,8.911e-05,8.911e-05,8.911e-05
35,3031.65,0.63242,0.80314,0.127,0.40356,0.58154,0.41413,0.19528,0.55305,0.69925,0.10933,8.878e-05,8.878e-05,8.878e-05
36,3118.3,0.63908,0.74975,0.11459,0.53225,0.63259,0.56283,0.26199,0.56382,0.63508,0.11515,8.845e-05,8.845e-05,8.845e-05
37,3205.45,0.66709,0.62149,0.12702,0.64953,0.66565,0.66971,0.3063,0.57444,0.59943,0.1214,8.812e-05,8.812e-05,8.812e-05
38,3292.74,0.66331,0.58948,0.11976,0.6387,0.71833,0.67554,0.3245,0.57344,0.54013,0.11705,8.779e-05,8.779e-05,8.779e-05
39,3379.48,0.67022,0.5367,0.12199,0.53974,0.6796,0.63188,0.2942,0.59249,0.58981,0.12606,8.746e-05,8.746e-05,8.746e-05
40,3465.11,0.63815,0.55979,0.12514,0.73864,0.71024,0.7091,0.33829,0.57271,0.54207,0.11776,8.713e-05,8.713e-05,8.713e-05
41,3551.96,0.63057,0.60259,0.11433,0.63183,0.72305,0.69329,0.33304,0.56482,0.54122,0.11909,8.68e-05,8.68e-05,8.68e-05
42,3637.99,0.64824,0.55039,0.12311,0.70245,0.72305,0.72116,0.34153,0.56919,0.54123,0.11259,8.647e-05,8.647e-05,8.647e-05
43,3725.13,0.6504,0.55219,0.11598,0.70388,0.72776,0.71367,0.32893,0.59281,0.53266,0.12523,8.614e-05,8.614e-05,8.614e-05
44,3812.66,0.63924,0.54436,0.11563,0.72661,0.71278,0.70778,0.33545,0.5759,0.54803,0.11771,8.581e-05,8.581e-05,8.581e-05
45,3898.3,0.63862,0.53927,0.11546,0.60395,0.71024,0.67993,0.32621,0.57482,0.53396,0.11739,8.548e-05,8.548e-05,8.548e-05
46,3984.03,0.65002,0.53877,0.1172,0.68732,0.74259,0.71439,0.3493,0.56105,0.52577,0.11268,8.515e-05,8.515e-05,8.515e-05
47,4070.57,0.61483,0.56193,0.10621,0.69375,0.71429,0.69691,0.32183,0.58367,0.55389,0.11909,8.482e-05,8.482e-05,8.482e-05
48,4156.46,0.63766,0.55321,0.11397,0.68427,0.72776,0.70703,0.33775,0.57721,0.52795,0.11831,8.449e-05,8.449e-05,8.449e-05
49,4242.62,0.63697,0.53756,0.10893,0.67131,0.73383,0.71041,0.34571,0.57024,0.52915,0.11719,8.416e-05,8.416e-05,8.416e-05
50,4328.39,0.64852,0.52734,0.11452,0.61012,0.74798,0.67257,0.3314,0.57243,0.52861,0.11749,8.383e-05,8.383e-05,8.383e-05
51,4414.43,0.64688,0.54338,0.11875,0.68078,0.73721,0.7205,0.34772,0.56736,0.55278,0.11707,8.35e-05,8.35e-05,8.35e-05
52,4500.34,0.63519,0.54942,0.1048,0.70526,0.73989,0.73566,0.36311,0.55865,0.5341,0.1134,8.317e-05,8.317e-05,8.317e-05
