Ep 4 | B 30 | Src:10.18 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 4 | B 40 | Src:11.82 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 4 | B 50 | Src:13.09 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 4 | B 60 | Src:13.26 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 4 | B 70 | Src:9.59 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 4 | B 80 | Src:10.66 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 4 | B 90 | Src:9.98 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.96e-05
Ep 5 | B 0 | Src:11.12 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 10 | Src:13.26 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 20 | Src:11.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 30 | Src:11.63 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 40 | Src:11.59 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 50 | Src:12.23 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 60 | Src:11.27 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 70 | Src:11.74 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 5 | B 80 | Src:9.42 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
