epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9983,1.14106,0.71363,0.01694,0.00423,0.54248,0.31203,0.45557,0.27586,1.85642,3.7669,0.01995,0.00207,3.29749e-05,3.29749e-05,0.0670581
2,65.881,1.07606,0.62877,0.01683,0.00051,0.67346,0.31401,0.44838,0.2756,1.67145,2.86379,0.01812,0.00047,6.6292e-05,6.6292e-05,0.033758
3,90.3452,1.07212,0.63055,0.01928,0.00023,0.51508,0.41729,0.51464,0.31757,1.61679,2.92464,0.01788,0.00081,9.95443e-05,9.95443e-05,0.000457967
4,115.043,1.03522,0.61964,0.01813,5e-05,0.68368,0.36278,0.51426,0.30998,1.60381,2.70506,0.01714,0.00055,9.97803e-05,9.97803e-05,9.97803e-05
5,139.759,1.01639,0.57631,0.01794,4e-05,0.70155,0.3579,0.50688,0.30661,1.6165,2.69669,0.01746,0.00067,9.96097e-05,9.96097e-05,9.96097e-05
6,164.349,1.03468,0.59038,0.01791,2e-05,0.71939,0.37782,0.51723,0.31268,1.60592,2.63315,0.01752,0.00073,9.93906e-05,9.93906e-05,9.93906e-05
7,188.695,1.017,0.57757,0.01778,5e-05,0.7044,0.38158,0.5217,0.3125,1.5956,2.5798,0.01716,0.00066,9.91232e-05,9.91232e-05,9.91232e-05
8,213.122,1.00326,0.59834,0.01608,2e-05,0.72155,0.38346,0.52142,0.31243,1.60227,2.57539,0.01692,0.00059,9.88079e-05,9.88079e-05,9.88079e-05
9,237.503,0.9589,0.56648,0.01791,2e-05,0.72776,0.41706,0.53217,0.31749,1.58039,2.48415,0.01682,0.00045,9.84449e-05,9.84449e-05,9.84449e-05
10,261.947,0.99964,0.56498,0.01581,3e-05,0.72424,0.41541,0.52924,0.31615,1.60252,2.39911,0.01701,0.00048,9.80345e-05,9.80345e-05,9.80345e-05
11,286.585,0.99982,0.58358,0.01657,3e-05,0.74495,0.41726,0.53829,0.32486,1.59432,2.43233,0.01696,0.00061,9.75773e-05,9.75773e-05,9.75773e-05
12,338.701,1.02265,0.62936,0.01625,2e-05,0.73589,0.48184,0.57819,0.3462,1.58542,2.08671,0.01666,0.00037,9.70736e-05,9.70736e-05,9.70736e-05
13,390.658,1.00491,0.6073,0.01585,2e-05,0.7708,0.49436,0.59503,0.35461,1.55089,2.04657,0.01632,0.0003,9.65239e-05,9.65239e-05,9.65239e-05
14,442.61,0.97904,0.54677,0.01691,1e-05,0.75756,0.49339,0.60013,0.35883,1.57072,2.02722,0.01645,0.00091,9.59289e-05,9.59289e-05,9.59289e-05
15,494.627,1.00297,0.58921,0.01735,2e-05,0.74005,0.51692,0.60718,0.37122,1.55446,1.9573,0.01649,0.00027,9.52889e-05,9.52889e-05,9.52889e-05
16,546.836,1.02862,0.59388,0.01738,2e-05,0.70658,0.55263,0.62127,0.37747,1.5782,1.84146,0.01665,0.00022,9.46048e-05,9.46048e-05,9.46048e-05
17,599.303,0.97315,0.57375,0.01783,1e-05,0.70615,0.5827,0.64064,0.38341,1.58057,1.74693,0.01665,0.00019,9.38772e-05,9.38772e-05,9.38772e-05
18,651.121,0.9559,0.5608,0.01605,1e-05,0.73923,0.56391,0.6518,0.39122,1.56426,1.73094,0.01647,0.00017,9.31067e-05,9.31067e-05,9.31067e-05
19,703.581,1.00355,0.59004,0.01664,1e-05,0.7479,0.5465,0.64061,0.38518,1.58123,1.75746,0.0165,0.00019,9.22942e-05,9.22942e-05,9.22942e-05
20,755.87,0.99642,0.59735,0.01644,1e-05,0.73811,0.54038,0.62131,0.37886,1.53638,1.83218,0.01634,0.00019,9.14405e-05,9.14405e-05,9.14405e-05
21,807.912,0.98393,0.56271,0.0186,1e-05,0.75639,0.5136,0.62211,0.37372,1.56399,1.85633,0.01669,0.00021,9.05463e-05,9.05463e-05,9.05463e-05
22,859.884,1.00237,0.58566,0.01618,2e-05,0.73076,0.53008,0.62626,0.37812,1.58102,1.786,0.01659,0.00014,8.96127e-05,8.96127e-05,8.96127e-05
23,911.832,0.96729,0.5567,0.01645,2e-05,0.75374,0.52932,0.63242,0.38077,1.57232,1.75611,0.01644,0.00019,8.86404e-05,8.86404e-05,8.86404e-05
24,963.031,1.00793,0.56707,0.01809,2e-05,0.72986,0.5434,0.63245,0.38484,1.55932,1.77266,0.01637,0.00014,8.76305e-05,8.76305e-05,8.76305e-05
25,1014.78,0.98792,0.568,0.01773,1e-05,0.75034,0.52538,0.62588,0.38429,1.54467,1.85114,0.01671,0.00032,8.65839e-05,8.65839e-05,8.65839e-05
26,1067.18,0.98221,0.58832,0.01741,2e-05,0.71429,0.54323,0.62034,0.37925,1.55614,1.89857,0.0169,0.00027,8.55018e-05,8.55018e-05,8.55018e-05
27,1119.22,0.95504,0.54178,0.01693,2e-05,0.72923,0.55075,0.63235,0.38611,1.55341,1.88839,0.01654,0.00021,8.43851e-05,8.43851e-05,8.43851e-05
28,1171.36,0.99417,0.56187,0.01625,2e-05,0.73653,0.52023,0.63036,0.38724,1.53499,1.97651,0.01646,0.00027,8.32349e-05,8.32349e-05,8.32349e-05
29,1222.83,0.98447,0.5716,0.01715,1e-05,0.81156,0.46992,0.62007,0.38451,1.53515,2.05701,0.01663,0.00025,8.20525e-05,8.20525e-05,8.20525e-05
30,1274.05,0.98931,0.59384,0.01835,1e-05,0.78882,0.46992,0.59375,0.37061,1.56011,2.21947,0.01695,0.0002,8.08389e-05,8.08389e-05,8.08389e-05
31,1326.42,0.9481,0.52961,0.01582,2e-05,0.75352,0.46617,0.58092,0.36122,1.56858,2.3112,0.01677,0.00026,7.95954e-05,7.95954e-05,7.95954e-05
32,1377.37,1.00409,0.5819,0.01697,2e-05,0.7444,0.46805,0.581,0.363,1.55146,2.30988,0.01667,0.00026,7.83231e-05,7.83231e-05,7.83231e-05
33,1428.87,0.96048,0.51376,0.01866,1e-05,0.74893,0.48496,0.60794,0.38168,1.56124,2.17383,0.01697,0.00022,7.70234e-05,7.70234e-05,7.70234e-05
34,1480.27,0.99482,0.57252,0.01804,1e-05,0.76794,0.48496,0.6095,0.38328,1.5563,2.15553,0.01651,0.00028,7.56976e-05,7.56976e-05,7.56976e-05
35,1532.06,0.97066,0.55285,0.01649,1e-05,0.76403,0.46863,0.59844,0.38309,1.5373,2.24273,0.01641,0.00032,7.43468e-05,7.43468e-05,7.43468e-05
36,1583.78,0.97903,0.58693,0.016,2e-05,0.74238,0.48208,0.61002,0.39129,1.54698,2.16488,0.01665,0.00027,7.29725e-05,7.29725e-05,7.29725e-05
37,1635.96,0.94122,0.52812,0.01717,2e-05,0.7659,0.46124,0.59714,0.38118,1.56422,2.15677,0.01679,0.00024,7.15761e-05,7.15761e-05,7.15761e-05
38,1687.9,0.98707,0.55538,0.01727,1e-05,0.75218,0.4718,0.59611,0.37908,1.55364,2.16581,0.01684,0.00022,7.01588e-05,7.01588e-05,7.01588e-05
39,1739.16,0.98741,0.58717,0.01599,1e-05,0.71626,0.48872,0.61024,0.38456,1.53662,2.14774,0.01649,0.00023,6.87222e-05,6.87222e-05,6.87222e-05
40,1790.51,0.98056,0.5712,0.01651,1e-05,0.72686,0.47932,0.5937,0.37202,1.5445,2.14012,0.0166,0.00026,6.72675e-05,6.72675e-05,6.72675e-05
41,1841.67,0.95577,0.54553,0.01767,1e-05,0.73198,0.46716,0.59435,0.37574,1.5675,2.21948,0.01675,0.00013,6.57963e-05,6.57963e-05,6.57963e-05
42,1893.21,0.96238,0.56346,0.01685,1e-05,0.71258,0.49248,0.60173,0.37917,1.54433,2.2035,0.0167,0.00027,6.43101e-05,6.43101e-05,6.43101e-05
43,1943.98,0.95228,0.53856,0.01741,1e-05,0.72119,0.4812,0.60381,0.38124,1.53335,2.26717,0.01662,0.00013,6.28101e-05,6.28101e-05,6.28101e-05
44,1995.39,0.98063,0.57946,0.01748,1e-05,0.7159,0.4812,0.60559,0.38032,1.52948,2.24316,0.01683,0.00015,6.12981e-05,6.12981e-05,6.12981e-05
45,2046.91,0.9662,0.54681,0.01639,1e-05,0.71784,0.4906,0.61194,0.38538,1.53308,2.18197,0.01678,0.00037,5.97754e-05,5.97754e-05,5.97754e-05
