Ep 7 | B 30 | Src:15.2632 | Psd:42.2527 | PLs:30 | LR:4.22e-05
Ep 7 | B 40 | Src:8.4625 | Psd:43.9425 | PLs:30 | LR:4.28e-05
Ep 7 | B 50 | Src:10.3851 | Psd:45.5560 | PLs:32 | LR:4.34e-05
Ep 7 | B 60 | Src:29.4244 | Psd:35.6026 | PLs:31 | LR:4.39e-05
Ep 7 | B 70 | Src:16.5424 | Psd:46.5977 | PLs:30 | LR:4.45e-05
Ep 7 | B 80 | Src:16.3676 | Psd:43.3442 | PLs:30 | LR:4.50e-05
Ep 8 | B 0 | Src:13.8408 | Psd:43.9550 | PLs:28 | LR:4.55e-05
Ep 8 | B 10 | Src:27.4257 | Psd:38.6229 | PLs:27 | LR:4.60e-05
Ep 8 | B 20 | Src:12.1782 | Psd:39.6902 | PLs:31 | LR:4.64e-05
Ep 8 | B 30 | Src:10.7372 | Psd:37.7547 | PLs:30 | LR:4.69e-05
Ep 8 | B 40 | Src:11.8508 | Psd:40.5143 | PLs:30 | LR:4.73e-05
Ep 8 | B 50 | Src:13.1012 | Psd:41.8554 | PLs:29 | LR:4.76e-05
Ep 8 | B 60 | Src:17.9744 | Psd:44.9954 | PLs:32 | LR:4.80e-05
Ep 8 | B 70 | Src:14.2310 | Psd:39.3665 | PLs:30 | LR:4.83e-05
Ep 8 | B 80 | Src:17.4729 | Psd:39.3396 | PLs:28 | LR:4.86e-05
Ep 9 | B 0 | Src:13.4340 | Psd:41.4924 | PLs:29 | LR:4.89e-05
Ep 9 | B 10 | Src:10.1358 | Psd:40.7469 | PLs:28 | LR:4.91e-05
Ep 9 | B 20 | Src:9.2515 | Psd:44.0451 | PLs:29 | LR:4.93e-05
Ep 9 | B 30 | Src:15.4934 | Psd:38.7830 | PLs:29 | LR:4.95e-05
Ep 9 | B 40 | Src:13.2174 | Psd:37.6435 | PLs:31 | LR:4.97e-05
Ep 9 | B 50 | Src:14.4359 | Psd:37.0529 | PLs:30 | LR:4.98e-05
Ep 9 | B 60 | Src:14.4616 | Psd:40.2204 | PLs:29 | LR:4.99e-05
Ep 9 | B 70 | Src:13.6320 | Psd:36.7298 | PLs:32 | LR:5.00e-05
Ep 9 | B 80 | Src:12.0209 | Psd:37.0814 | PLs:30 | LR:5.00e-05
Ep 10 | B 0 | Src:12.9765 | Psd:42.8926 | PLs:27 | LR:5.00e-05
Ep 10 | B 10 | Src:17.8473 | Psd:38.1990 | PLs:29 | LR:5.00e-05
Ep 10 | B 20 | Src:13.4340 | Psd:39.7620 | PLs:31 | LR:5.00e-05
Ep 10 | B 30 | Src:15.0416 | Psd:41.8436 | PLs:31 | LR:5.00e-05
Ep 10 | B 40 | Src:18.2963 | Psd:35.5983 | PLs:31 | LR:5.00e-05
Ep 10 | B 50 | Src:15.4632 | Psd:39.7492 | PLs:30 | LR:5.00e-05
Ep 10 | B 60 | Src:12.9437 | Psd:39.0011 | PLs:30 | LR:5.00e-05
Ep 10 | B 70 | Src:15.1203 | Psd:39.1232 | PLs:27 | LR:5.00e-05
Ep 10 | B 80 | Src:12.1944 | Psd:41.6398 | PLs:30 | LR:5.00e-05
Ep 11 | B 0 | Src:19.8039 | Psd:34.6765 | PLs:29 | LR:5.00e-05
Ep 11 | B 10 | Src:21.3588 | Psd:42.9570 | PLs:28 | LR:5.00e-05
Ep 11 | B 20 | Src:13.3679 | Psd:38.9165 | PLs:31 | LR:5.00e-05
Ep 11 | B 30 | Src:10.5686 | Psd:40.8957 | PLs:32 | LR:5.00e-05
Ep 11 | B 40 | Src:18.9009 | Psd:41.0984 | PLs:27 | LR:5.00e-05
Ep 11 | B 50 | Src:16.3252 | Psd:39.4726 | PLs:30 | LR:5.00e-05
Ep 11 | B 60 | Src:13.1574 | Psd:42.4180 | PLs:28 | LR:5.00e-05
Ep 11 | B 70 | Src:9.1233 | Psd:37.8380 | PLs:29 | LR:5.00e-05
Ep 11 | B 80 | Src:17.5012 | Psd:40.9669 | PLs:27 | LR:4.99e-05
Ep 12 | B 0 | Src:8.5463 | Psd:36.4420 | PLs:30 | LR:4.99e-05
Ep 12 | B 10 | Src:16.5694 | Psd:40.7395 | PLs:29 | LR:4.99e-05
Ep 12 | B 20 | Src:15.9408 | Psd:41.4233 | PLs:26 | LR:4.99e-05
Ep 12 | B 30 | Src:10.8858 | Psd:38.3182 | PLs:29 | LR:4.99e-05
Ep 12 | B 40 | Src:12.8314 | Psd:44.1471 | PLs:30 | LR:4.99e-05
Ep 12 | B 50 | Src:8.9808 | Psd:36.7535 | PLs:27 | LR:4.99e-05
Ep 12 | B 60 | Src:10.5873 | Psd:33.2237 | PLs:28 | LR:4.99e-05
Ep 12 | B 70 | Src:16.5410 | Psd:39.5399 | PLs:30 | LR:4.99e-05
Ep 12 | B 80 | Src:11.3000 | Psd:42.3776 | PLs:29 | LR:4.99e-05
Ep 13 | B 0 | Src:11.1970 | Psd:35.1494 | PLs:31 | LR:4.99e-05
Ep 13 | B 10 | Src:8.0936 | Psd:35.9274 | PLs:29 | LR:4.99e-05
Ep 13 | B 20 | Src:6.7365 | Psd:38.1286 | PLs:26 | LR:4.98e-05
Ep 13 | B 30 | Src:18.6305 | Psd:37.3926 | PLs:29 | LR:4.98e-05
Ep 13 | B 40 | Src:26.8281 | Psd:44.7167 | PLs:28 | LR:4.98e-05
Ep 13 | B 50 | Src:13.3381 | Psd:40.6937 | PLs:30 | LR:4.98e-05
Ep 13 | B 60 | Src:17.7037 | Psd:40.8298 | PLs:26 | LR:4.98e-05
Ep 13 | B 70 | Src:14.6371 | Psd:42.7109 | PLs:30 | LR:4.98e-05
Ep 13 | B 80 | Src:19.4660 | Psd:37.1500 | PLs:27 | LR:4.98e-05
