epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
35,1523.07,1.06831,0.64079,0.01784,1e-05,0.71716,0.50045,0.61582,0.36354,1.53175,2.28096,0.01622,0.00017,7.43468e-05,7.43468e-05,7.43468e-05
36,1572.85,1.06655,0.62478,0.01774,2e-05,0.75042,0.49812,0.63702,0.37845,1.51441,2.18285,0.01601,0.00018,7.29725e-05,7.29725e-05,7.29725e-05
37,1621.77,1.06272,0.63248,0.01822,2e-05,0.72613,0.51692,0.64806,0.38611,1.52477,2.15,0.01664,0.00023,7.15761e-05,7.15761e-05,7.15761e-05
38,1671.42,1.06485,0.64446,0.01705,2e-05,0.76576,0.5094,0.64889,0.38314,1.5089,2.13099,0.0163,0.00032,7.01588e-05,7.01588e-05,7.01588e-05
39,1721.7,1.0857,0.64706,0.01727,2e-05,0.74103,0.52068,0.64478,0.38417,1.50768,2.0799,0.01631,0.0003,6.87222e-05,6.87222e-05,6.87222e-05
40,1772.23,1.07164,0.66073,0.01985,1e-05,0.71024,0.52523,0.63245,0.37065,1.50048,2.1485,0.01616,0.00025,6.72675e-05,6.72675e-05,6.72675e-05
41,1822.04,1.07542,0.64046,0.01758,1e-05,0.74342,0.51692,0.63561,0.37296,1.50698,2.14826,0.01641,0.00028,6.57963e-05,6.57963e-05,6.57963e-05
42,1872.83,1.08052,0.65941,0.01825,1e-05,0.79934,0.49624,0.63266,0.37198,1.5078,2.1018,0.01632,0.00028,6.43101e-05,6.43101e-05,6.43101e-05
43,1922.63,1.04765,0.64343,0.02047,3e-05,0.73302,0.50564,0.63351,0.37575,1.48886,2.12689,0.01614,0.00031,6.28101e-05,6.28101e-05,6.28101e-05
44,1972.45,1.04744,0.66585,0.0179,2e-05,0.72578,0.51504,0.63229,0.38979,1.49991,2.17687,0.01651,0.00027,6.12981e-05,6.12981e-05,6.12981e-05
45,2022.41,1.03375,0.62271,0.0177,1e-05,0.71807,0.53621,0.64179,0.387,1.49353,2.13629,0.01633,0.00032,5.97754e-05,5.97754e-05,5.97754e-05
46,2072.65,1.05077,0.62771,0.01926,1e-05,0.75415,0.52632,0.64524,0.37768,1.50632,2.02778,0.01623,0.0003,5.82435e-05,5.82435e-05,5.82435e-05
47,2122.95,1.05622,0.60398,0.01772,1e-05,0.74216,0.53564,0.64165,0.37105,1.50643,2.07363,0.01628,0.00039,5.6704e-05,5.6704e-05,5.6704e-05
48,2172.78,1.04277,0.60221,0.01804,1e-05,0.70512,0.52444,0.63502,0.3653,1.50457,2.17909,0.01606,0.00046,5.51584e-05,5.51584e-05,5.51584e-05
49,2223.4,1.02334,0.61063,0.01702,1e-05,0.70495,0.52256,0.63471,0.37287,1.50111,2.21084,0.01619,0.0004,5.36081e-05,5.36081e-05,5.36081e-05
50,2272.72,1.05255,0.62851,0.01799,1e-05,0.72582,0.5094,0.63642,0.38509,1.48929,2.20911,0.01603,0.0004,5.20548e-05,5.20548e-05,5.20548e-05
51,2322.64,1.04063,0.63002,0.01676,1e-05,0.7303,0.5094,0.63437,0.38023,1.49101,2.2173,0.01621,0.00043,5.05e-05,5.05e-05,5.05e-05
52,2372.88,1.05568,0.64191,0.01713,1e-05,0.70584,0.53759,0.64658,0.38308,1.49036,2.12612,0.01608,0.0003,4.89452e-05,4.89452e-05,4.89452e-05
53,2423.13,1.05006,0.61181,0.01807,1e-05,0.76812,0.50436,0.64681,0.38123,1.4863,2.1569,0.01597,0.00031,4.73919e-05,4.73919e-05,4.73919e-05
54,2472.68,1.05094,0.61353,0.01754,1e-05,0.73744,0.51692,0.64454,0.38722,1.47378,2.23172,0.01607,0.00034,4.58416e-05,4.58416e-05,4.58416e-05
55,2522.38,1.09287,0.63313,0.01849,1e-05,0.82562,0.47932,0.64637,0.3913,1.47544,2.15866,0.01603,0.00025,4.4296e-05,4.4296e-05,4.4296e-05
56,2572.27,1.09499,0.65741,0.01894,2e-05,0.78922,0.49248,0.64913,0.39424,1.46912,2.17726,0.01607,0.00028,4.27565e-05,4.27565e-05,4.27565e-05
57,2623.13,1.01873,0.61445,0.01653,1e-05,0.78649,0.49436,0.65116,0.3977,1.47677,2.11087,0.01615,0.00024,4.12246e-05,4.12246e-05,4.12246e-05
58,2673.37,1.02764,0.58926,0.01701,1e-05,0.76702,0.5,0.64875,0.39248,1.48055,2.11286,0.01615,0.00024,3.97019e-05,3.97019e-05,3.97019e-05
59,2723.75,1.07651,0.63443,0.01955,1e-05,0.79,0.50205,0.6485,0.38974,1.48386,2.10505,0.01615,0.00021,3.81899e-05,3.81899e-05,3.81899e-05
60,2773.27,1.07079,0.6223,0.02043,1e-05,0.77311,0.51504,0.6524,0.39241,1.48418,2.09556,0.01621,0.00019,3.66899e-05,3.66899e-05,3.66899e-05
61,2823.72,1.06529,0.63262,0.01972,1e-05,0.77446,0.50752,0.64747,0.38382,1.47875,2.11915,0.01613,0.00024,3.52037e-05,3.52037e-05,3.52037e-05
62,2873.76,1.03455,0.62271,0.018,1e-05,0.77431,0.50752,0.64233,0.38316,1.48647,2.14433,0.01613,0.00024,3.37325e-05,3.37325e-05,3.37325e-05
63,2923.63,1.06765,0.65977,0.01743,1e-05,0.73129,0.51667,0.63969,0.38502,1.49621,2.1733,0.01615,0.00028,3.22778e-05,3.22778e-05,3.22778e-05
64,2972.86,1.02334,0.60622,0.01715,1e-05,0.69106,0.54323,0.6397,0.38037,1.49902,2.1213,0.01616,0.00029,3.08412e-05,3.08412e-05,3.08412e-05
65,3023.55,1.05323,0.62804,0.0169,1e-05,0.76714,0.50564,0.64286,0.38505,1.49173,2.17172,0.01619,0.00032,2.94239e-05,2.94239e-05,2.94239e-05
66,3073.74,1.02458,0.62053,0.01715,1e-05,0.72366,0.52444,0.64553,0.39207,1.49072,2.14813,0.01631,0.00028,2.80275e-05,2.80275e-05,2.80275e-05
67,3124.03,1.05231,0.61705,0.01776,1e-05,0.71848,0.53571,0.64388,0.38747,1.49308,2.14983,0.01626,0.00031,2.66532e-05,2.66532e-05,2.66532e-05
68,3174.26,1.03276,0.58576,0.01794,1e-05,0.71866,0.51376,0.64433,0.39002,1.49048,2.22745,0.0163,0.00037,2.53024e-05,2.53024e-05,2.53024e-05
69,3224.4,1.0874,0.59517,0.01819,1e-05,0.73608,0.50752,0.64751,0.39099,1.49646,2.18343,0.01621,0.00037,2.39766e-05,2.39766e-05,2.39766e-05
70,3274.44,1.01887,0.59641,0.01789,1e-05,0.73109,0.53571,0.64655,0.38442,1.49354,2.18225,0.01622,0.00034,2.26769e-05,2.26769e-05,2.26769e-05
