epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2467,1.59607,2.87684,0.01783,0.06997,0.17011,0.34364,0.15234,0.07579,1.57536,3.02171,0.02123,0.01246,0.00224778,0.00224778,0.0773829
2,74.8715,1.47516,1.88478,0.01776,0.00657,0.41049,0.40646,0.36606,0.15804,1.61287,nan,0.02164,0.00144,0.00445448,0.00445448,0.0541842
3,92.9064,1.55266,1.8965,0.01863,0.00571,0.26511,0.2542,0.20228,0.07998,1.86011,3.88993,0.02402,0.00203,0.00657024,0.00657024,0.0308946
4,110.408,1.45677,1.7688,0.01668,0.0068,0.57948,0.52925,0.53377,0.24905,1.53715,8.22354,0.0203,0.00234,0.00850316,0.00850316,0.00850316
5,127.669,1.44149,1.63837,0.01729,0.00472,0.48704,0.45057,0.42538,0.18956,nan,nan,nan,nan,0.00832421,0.00832421,0.00832421
6,144.461,1.41547,1.6038,0.01624,0.00486,0.4687,0.36113,0.32855,0.14878,nan,nan,nan,nan,0.00814527,0.00814527,0.00814527
7,161.991,1.44729,1.57738,0.01768,0.00475,0.5745,0.51446,0.52997,0.26646,1.37281,nan,0.01987,0.0004,0.00796632,0.00796632,0.00796632
8,179.267,1.41426,1.66674,0.01729,0.00436,0.64559,0.5341,0.57637,0.28968,1.38084,2.59019,0.01918,0.00015,0.00778737,0.00778737,0.00778737
9,196.574,1.37727,1.53173,0.01659,0.00492,0.5444,0.53665,0.54418,0.2583,1.45518,1.85895,0.01631,0.00016,0.00760843,0.00760843,0.00760843
10,213.624,1.36765,1.43467,0.01586,0.00425,0.62981,0.40753,0.45446,0.22701,nan,nan,nan,nan,0.00742948,0.00742948,0.00742948
11,231.389,1.31129,1.44723,0.01509,0.00472,0.65104,0.62946,0.66746,0.38559,1.23117,1.19394,0.01699,0.00071,0.00725053,0.00725053,0.00725053
12,248.61,1.30723,1.35097,0.01649,0.00477,0.63537,0.60701,0.60476,0.31272,1.37751,5.20395,0.01833,0.00076,0.00707159,0.00707159,0.00707159
13,265.589,1.31976,1.34206,0.0162,0.00499,0.69863,0.59785,0.67085,0.37071,1.30543,1.31368,0.01761,0.00017,0.00689264,0.00689264,0.00689264
14,282.665,1.31113,1.39208,0.01588,0.00505,0.68623,0.59125,0.65241,0.33833,1.41215,1.31505,0.01928,0.0002,0.00671369,0.00671369,0.00671369
15,300.046,1.40693,1.4282,0.01849,0.00451,0.70168,0.62273,0.68793,0.386,1.29325,nan,0.01889,0.00045,0.00653474,0.00653474,0.00653474
16,317.493,1.30341,1.44884,0.01649,0.00467,0.68489,0.60658,0.65104,0.33921,1.36298,nan,0.0157,0.00019,0.0063558,0.0063558,0.0063558
17,334.457,1.26117,1.38919,0.01599,0.00395,0.73792,0.66846,0.74046,0.44573,1.17664,nan,0.01762,0.00016,0.00617685,0.00617685,0.00617685
18,352.192,1.25654,1.25534,0.01536,0.00481,0.76161,0.64492,0.73717,0.44418,1.24405,1.05112,0.01832,0.00042,0.0059979,0.0059979,0.0059979
19,369.203,1.27598,1.25483,0.01571,0.00461,0.75486,0.65434,0.73782,0.43293,1.20507,nan,0.01847,0.00021,0.00581896,0.00581896,0.00581896
20,386.176,1.22756,1.17625,0.01579,0.00397,0.74379,0.68527,0.75169,0.44122,1.17178,nan,0.01742,0.00018,0.00564001,0.00564001,0.00564001
21,403.163,1.30421,1.34399,0.01649,0.00397,0.71641,0.60651,0.68347,0.38721,1.26632,1.20736,0.01764,0.00012,0.00546106,0.00546106,0.00546106
22,420.694,1.31062,1.35357,0.01536,0.00471,0.72644,0.64694,0.72765,0.4243,1.22994,nan,0.01896,0.00038,0.00528212,0.00528212,0.00528212
23,437.881,1.33752,1.44146,0.01555,0.00419,0.61161,0.55916,0.59618,0.27639,1.58137,1.40484,0.01588,0.00153,0.00510317,0.00510317,0.00510317
24,455.35,1.28193,1.33071,0.01449,0.00585,0.76533,0.68863,0.76314,0.45054,1.14791,1.41795,0.0168,0.0003,0.00492422,0.00492422,0.00492422
25,472.984,1.20791,1.36253,0.01518,0.0041,0.75555,0.6456,0.74411,0.44868,1.16475,1.11297,0.01791,0.00035,0.00474528,0.00474528,0.00474528
26,490.02,1.28235,1.34379,0.01665,0.00442,0.75638,0.6772,0.7583,0.44324,1.20527,1.16603,0.01836,0.00046,0.00456633,0.00456633,0.00456633
