epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1235,1.10486,0.65621,0.01693,0.00578,0.54565,0.40182,0.45096,0.24535,1.79874,2.4907,0.01736,0.00598,3.29749e-05,3.29749e-05,0.0670581
2,89.4017,1.01367,0.61305,0.01603,0.00023,0.6405,0.55827,0.60146,0.33186,1.64976,1.83262,0.01613,0.00055,6.6292e-05,6.6292e-05,0.033758
3,113.086,1.00699,0.58793,0.01519,0.00011,0.66198,0.48961,0.58322,0.34113,1.65887,2.15159,0.01738,0.00037,9.95443e-05,9.95443e-05,0.000457967
4,136.725,0.99073,0.62535,0.01681,5e-05,0.70403,0.47556,0.59313,0.34619,1.63364,2.13832,0.01724,0.0002,9.97803e-05,9.97803e-05,9.97803e-05
5,160.385,0.98864,0.56626,0.01558,2e-05,0.72416,0.46992,0.58462,0.34813,1.6414,2.2268,0.0171,0.0002,9.96097e-05,9.96097e-05,9.96097e-05
6,184.133,0.98137,0.5629,0.01604,2e-05,0.70954,0.43797,0.56762,0.33945,1.66734,2.3655,0.0172,0.00051,9.93906e-05,9.93906e-05,9.93906e-05
7,207.63,0.96167,0.5817,0.01748,2e-05,0.69984,0.40758,0.55058,0.32986,1.68257,2.51328,0.0174,0.00057,9.91232e-05,9.91232e-05,9.91232e-05
8,231.188,0.98801,0.56252,0.01648,2e-05,0.69215,0.41541,0.55034,0.32741,1.71044,2.43914,0.01755,0.00058,9.88079e-05,9.88079e-05,9.88079e-05
9,254.76,0.95332,0.5384,0.01643,1e-05,0.68474,0.43797,0.55334,0.32215,1.68593,2.27217,0.01717,0.00015,9.84449e-05,9.84449e-05,9.84449e-05
10,278.277,0.95269,0.52196,0.01595,1e-05,0.66986,0.44925,0.57041,0.33518,1.66407,2.29575,0.01709,0.00037,9.80345e-05,9.80345e-05,9.80345e-05
11,301.773,0.93425,0.51483,0.01573,1e-05,0.68876,0.44737,0.57335,0.33889,1.67344,2.26689,0.01686,0.00049,9.75773e-05,9.75773e-05,9.75773e-05
12,366.547,0.95087,0.56137,0.01582,1e-05,0.72756,0.56725,0.62645,0.36316,1.63339,1.80777,0.01674,0.0004,9.70736e-05,9.70736e-05,9.70736e-05
13,416.686,0.94579,0.51888,0.01625,1e-05,0.72685,0.54699,0.61926,0.35927,1.61206,1.80108,0.01678,6e-05,9.65239e-05,9.65239e-05,9.65239e-05
14,466.496,0.91821,0.50839,0.01508,1e-05,0.7082,0.56203,0.62729,0.36492,1.59929,1.83194,0.01673,6e-05,9.59289e-05,9.59289e-05,9.59289e-05
15,516.524,0.9044,0.52,0.01642,2e-05,0.76409,0.5282,0.62788,0.36905,1.6138,1.82319,0.01689,0.00036,9.52889e-05,9.52889e-05,9.52889e-05
16,567.013,0.93175,0.51339,0.01489,1e-05,0.74656,0.54887,0.63063,0.37163,1.61478,1.80801,0.01685,0.00037,9.46048e-05,9.46048e-05,9.46048e-05
17,617.499,0.93092,0.54298,0.01602,1e-05,0.71949,0.56767,0.64605,0.37844,1.59529,1.76229,0.01685,8e-05,9.38772e-05,9.38772e-05,9.38772e-05
18,667.478,0.93148,0.54367,0.01416,1e-05,0.76308,0.55451,0.64664,0.38109,1.60676,1.75021,0.01716,8e-05,9.31067e-05,9.31067e-05,9.31067e-05
19,718.055,0.90406,0.52182,0.01592,1e-05,0.76576,0.56767,0.65517,0.38473,1.59189,1.73845,0.01723,6e-05,9.22942e-05,9.22942e-05,9.22942e-05
20,768.672,0.94889,0.5244,0.01498,1e-05,0.77855,0.56171,0.65954,0.39059,1.5804,1.73805,0.01697,6e-05,9.14405e-05,9.14405e-05,9.14405e-05
21,819.058,0.9108,0.51052,0.01723,1e-05,0.75496,0.56955,0.66966,0.39799,1.57597,1.72241,0.01696,7e-05,9.05463e-05,9.05463e-05,9.05463e-05
22,869.718,0.92885,0.54784,0.01534,1e-05,0.7835,0.57331,0.67045,0.39748,1.56623,1.73293,0.01701,6e-05,8.96127e-05,8.96127e-05,8.96127e-05
23,919.909,0.90832,0.52227,0.01455,1e-05,0.81702,0.55263,0.67082,0.39532,1.57985,1.74267,0.01702,6e-05,8.86404e-05,8.86404e-05,8.86404e-05
24,969.687,0.91169,0.50661,0.01557,1e-05,0.71469,0.59211,0.67172,0.39849,1.60546,1.69565,0.01699,0.0003,8.76305e-05,8.76305e-05,8.76305e-05
25,1020.23,0.93777,0.52987,0.01633,1e-05,0.70397,0.60793,0.67511,0.40368,1.59604,1.73138,0.01699,0.00035,8.65839e-05,8.65839e-05,8.65839e-05
26,1070.92,0.93699,0.53413,0.01646,1e-05,0.70222,0.58083,0.66624,0.4014,1.60852,1.78457,0.01704,0.00034,8.55018e-05,8.55018e-05,8.55018e-05
27,1121.14,0.92441,0.53506,0.01563,1e-05,0.73278,0.53759,0.65164,0.39301,1.61152,1.95234,0.01682,0.00042,8.43851e-05,8.43851e-05,8.43851e-05
28,1171.4,0.9089,0.52381,0.01567,1e-05,0.73855,0.52068,0.63859,0.38339,1.65117,2.00346,0.01732,0.00061,8.32349e-05,8.32349e-05,8.32349e-05
29,1221.52,0.89915,0.52801,0.01663,1e-05,0.71984,0.5094,0.63809,0.38297,1.66215,2.02454,0.01705,0.00041,8.20525e-05,8.20525e-05,8.20525e-05
