               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.055701,            0.020029,                   0,             0.79717,             0.71056,             0.76746,             0.33277,            0.048464,            0.019424,                   0,             0.00886,             0.00886,             0.00886
                  40,            0.054311,            0.020901,                   0,             0.79464,             0.70463,             0.77044,               0.349,            0.047328,            0.019187,                   0,             0.00883,             0.00883,             0.00883
                  41,            0.055144,            0.022119,                   0,             0.79088,             0.73576,              0.7812,             0.34212,            0.047118,            0.019011,                   0,              0.0088,              0.0088,              0.0088
                  42,            0.054917,            0.021122,                   0,             0.78474,             0.72219,             0.78018,             0.34441,            0.047074,             0.01972,                   0,             0.00877,             0.00877,             0.00877
                  43,            0.055647,             0.02086,                   0,             0.82798,             0.72516,             0.79234,             0.37453,            0.046499,            0.018886,                   0,             0.00874,             0.00874,             0.00874
                  44,            0.056325,            0.021055,                   0,             0.78302,             0.72133,             0.77698,             0.35378,            0.047053,            0.019348,                   0,             0.00871,             0.00871,             0.00871
                  45,            0.054966,            0.021008,                   0,             0.82496,             0.72005,             0.79532,             0.35989,            0.047182,            0.018991,                   0,             0.00868,             0.00868,             0.00868
                  46,            0.055168,            0.021048,                   0,             0.78158,             0.72586,             0.77977,             0.35959,            0.047184,            0.019038,                   0,             0.00865,             0.00865,             0.00865
                  47,            0.055434,            0.021424,                   0,             0.79835,              0.7303,             0.77876,             0.34002,            0.048147,            0.019119,                   0,             0.00862,             0.00862,             0.00862
                  48,            0.055531,            0.020161,                   0,             0.79647,             0.72716,             0.78743,              0.3514,            0.047775,             0.01893,                   0,             0.00859,             0.00859,             0.00859
                  49,            0.053316,            0.019677,                   0,             0.80578,             0.73843,             0.78717,             0.35358,            0.047314,            0.018985,                   0,             0.00856,             0.00856,             0.00856
                  50,            0.054993,            0.020113,                   0,             0.82095,             0.73843,             0.79019,             0.35492,            0.048612,            0.019266,                   0,             0.00853,             0.00853,             0.00853
