Ep 5 | B 0 | Src:8.43 | Psd:79.62 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 10 | Src:14.10 | Psd:68.01 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 20 | Src:13.52 | Psd:73.93 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 30 | Src:10.78 | Psd:76.34 | PLs:27 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 40 | Src:13.01 | Psd:66.19 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 50 | Src:15.28 | Psd:71.84 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 60 | Src:12.11 | Psd:76.13 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 70 | Src:10.83 | Psd:66.85 | PLs:32 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 80 | Src:9.99 | Psd:71.48 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 90 | Src:12.82 | Psd:63.70 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 6 | B 0 | Src:12.05 | Psd:70.47 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 10 | Src:12.67 | Psd:67.57 | PLs:31 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 20 | Src:10.96 | Psd:66.07 | PLs:29 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 30 | Src:11.97 | Psd:64.71 | PLs:31 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 40 | Src:10.52 | Psd:68.54 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 50 | Src:12.02 | Psd:74.88 | PLs:31 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 60 | Src:8.63 | Psd:70.43 | PLs:28 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 70 | Src:10.45 | Psd:69.16 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 80 | Src:12.62 | Psd:66.60 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 90 | Src:15.99 | Psd:68.08 | PLs:31 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 7 | B 0 | Src:9.23 | Psd:73.18 | PLs:32 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 10 | Src:11.17 | Psd:71.67 | PLs:32 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 20 | Src:12.06 | Psd:75.06 | PLs:27 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 30 | Src:15.95 | Psd:71.06 | PLs:29 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 40 | Src:10.29 | Psd:64.95 | PLs:30 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 50 | Src:10.24 | Psd:63.09 | PLs:28 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 60 | Src:11.26 | Psd:67.05 | PLs:31 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 70 | Src:10.24 | Psd:66.34 | PLs:29 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 80 | Src:10.11 | Psd:68.01 | PLs:31 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 90 | Src:12.82 | Psd:66.33 | PLs:32 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 8 | B 0 | Src:8.06 | Psd:65.86 | PLs:32 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 10 | Src:16.13 | Psd:69.68 | PLs:32 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 20 | Src:9.39 | Psd:77.59 | PLs:32 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 30 | Src:12.68 | Psd:67.45 | PLs:32 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 40 | Src:10.30 | Psd:77.41 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 50 | Src:9.59 | Psd:69.92 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 60 | Src:10.55 | Psd:63.86 | PLs:27 | λ:0.020 | Conf:0.70 | LR:9.84e-05
