Ep 5 | B 0 | Src:12.20 | Psd:89.09 | PLs:28 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 10 | Src:13.93 | Psd:81.92 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 20 | Src:13.70 | Psd:92.70 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 30 | Src:13.73 | Psd:86.79 | PLs:27 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 40 | Src:15.41 | Psd:81.05 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 50 | Src:13.71 | Psd:83.67 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 60 | Src:13.80 | Psd:91.26 | PLs:28 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 70 | Src:14.02 | Psd:77.15 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 80 | Src:12.60 | Psd:79.15 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 90 | Src:16.73 | Psd:86.30 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 6 | B 0 | Src:9.28 | Psd:84.73 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 10 | Src:14.59 | Psd:83.36 | PLs:32 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 20 | Src:14.41 | Psd:81.69 | PLs:29 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 30 | Src:10.87 | Psd:75.25 | PLs:31 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 40 | Src:19.11 | Psd:80.79 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 50 | Src:10.92 | Psd:90.07 | PLs:32 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 60 | Src:13.42 | Psd:76.81 | PLs:29 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 70 | Src:16.79 | Psd:79.81 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 80 | Src:15.82 | Psd:79.70 | PLs:29 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 90 | Src:17.60 | Psd:78.86 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 7 | B 0 | Src:11.84 | Psd:80.10 | PLs:30 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 10 | Src:15.14 | Psd:81.10 | PLs:30 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 20 | Src:12.27 | Psd:84.79 | PLs:29 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 30 | Src:17.66 | Psd:83.81 | PLs:29 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 40 | Src:12.04 | Psd:76.15 | PLs:31 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 50 | Src:13.92 | Psd:72.19 | PLs:30 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 60 | Src:10.58 | Psd:83.23 | PLs:29 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 70 | Src:14.54 | Psd:83.32 | PLs:28 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 80 | Src:13.99 | Psd:78.02 | PLs:30 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 90 | Src:14.58 | Psd:81.78 | PLs:29 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 8 | B 0 | Src:17.20 | Psd:80.76 | PLs:29 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 10 | Src:12.16 | Psd:78.24 | PLs:29 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 20 | Src:12.72 | Psd:85.85 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 30 | Src:13.00 | Psd:81.52 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 40 | Src:10.47 | Psd:72.78 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 50 | Src:21.86 | Psd:75.84 | PLs:28 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 60 | Src:10.14 | Psd:81.11 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 70 | Src:12.97 | Psd:78.09 | PLs:30 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 80 | Src:13.74 | Psd:71.62 | PLs:28 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 90 | Src:9.63 | Psd:74.27 | PLs:31 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 9 | B 0 | Src:13.47 | Psd:78.35 | PLs:32 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 10 | Src:12.08 | Psd:75.10 | PLs:31 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 20 | Src:17.35 | Psd:74.93 | PLs:29 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 30 | Src:14.00 | Psd:68.74 | PLs:30 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 40 | Src:14.08 | Psd:64.25 | PLs:30 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 50 | Src:9.93 | Psd:70.32 | PLs:29 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 60 | Src:12.75 | Psd:67.81 | PLs:30 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 70 | Src:13.74 | Psd:74.49 | PLs:30 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 80 | Src:12.12 | Psd:62.38 | PLs:26 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 90 | Src:15.46 | Psd:65.11 | PLs:29 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 10 | B 0 | Src:17.12 | Psd:65.42 | PLs:29 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 10 | Src:12.29 | Psd:68.07 | PLs:27 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 20 | Src:11.43 | Psd:66.77 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 30 | Src:16.58 | Psd:66.19 | PLs:27 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 40 | Src:12.08 | Psd:66.69 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 50 | Src:16.14 | Psd:67.17 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 60 | Src:14.71 | Psd:64.37 | PLs:28 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 70 | Src:14.82 | Psd:71.59 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 80 | Src:14.47 | Psd:70.56 | PLs:31 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 90 | Src:11.65 | Psd:60.07 | PLs:26 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 11 | B 0 | Src:10.52 | Psd:64.08 | PLs:29 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 10 | Src:14.28 | Psd:65.83 | PLs:27 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 20 | Src:14.62 | Psd:70.02 | PLs:29 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 30 | Src:16.38 | Psd:73.98 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 40 | Src:16.57 | Psd:66.84 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 50 | Src:14.26 | Psd:64.74 | PLs:26 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 60 | Src:13.43 | Psd:63.25 | PLs:27 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 70 | Src:10.26 | Psd:62.05 | PLs:24 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 80 | Src:10.99 | Psd:63.62 | PLs:29 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 90 | Src:15.01 | Psd:64.92 | PLs:27 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 12 | B 0 | Src:13.45 | Psd:65.67 | PLs:28 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 10 | Src:14.27 | Psd:68.47 | PLs:26 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 20 | Src:13.58 | Psd:61.87 | PLs:29 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 30 | Src:11.92 | Psd:65.84 | PLs:30 | λ:0.030 | Conf:0.70 | LR:9.65e-05
