epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
35,1742.15,1.11499,0.71391,0.01703,2e-05,0.5,0.31955,0.42902,0.27451,1.65122,3.53737,0.01717,0.00105,7.43468e-05,7.43468e-05,7.43468e-05
36,1790.69,1.04597,0.68274,0.01874,2e-05,0.52436,0.34398,0.44358,0.28357,1.63579,3.48965,0.01686,0.00068,7.29725e-05,7.29725e-05,7.29725e-05
37,1839.48,1.03894,0.6555,0.01555,2e-05,0.55591,0.32707,0.44764,0.29167,1.62801,3.45645,0.0169,0.00107,7.15761e-05,7.15761e-05,7.15761e-05
38,1888.3,1.05039,0.65387,0.01911,1e-05,0.58246,0.31203,0.45395,0.29424,1.62218,3.55393,0.0167,0.0009,7.01588e-05,7.01588e-05,7.01588e-05
39,1936.92,1.05195,0.60828,0.01758,1e-05,0.59615,0.34962,0.4726,0.30223,1.62631,3.47566,0.017,0.00081,6.87222e-05,6.87222e-05,6.87222e-05
40,1985.47,1.04546,0.62597,0.01715,1e-05,0.59829,0.26316,0.4368,0.2838,1.64238,3.66137,0.01726,0.00079,6.72675e-05,6.72675e-05,6.72675e-05
41,2034.14,1.04885,0.63561,0.01789,1e-05,0.58621,0.22368,0.40869,0.26919,1.66197,3.83087,0.01699,0.00092,6.57963e-05,6.57963e-05,6.57963e-05
42,2083.2,1.06524,0.68333,0.02018,2e-05,0.6087,0.23684,0.42668,0.27809,1.67658,3.80655,0.01695,0.00088,6.43101e-05,6.43101e-05,6.43101e-05
43,2132.11,1.09452,0.71599,0.01831,2e-05,0.58,0.27256,0.4327,0.28054,1.64984,3.69507,0.01711,0.00089,6.28101e-05,6.28101e-05,6.28101e-05
44,2180.92,1.05077,0.63649,0.01791,1e-05,0.56119,0.35338,0.46745,0.2945,1.65429,3.39879,0.01691,0.00058,6.12981e-05,6.12981e-05,6.12981e-05
45,2230.23,1.0144,0.63582,0.01888,1e-05,0.55336,0.26316,0.41414,0.27176,1.65692,3.62365,0.01687,0.00077,5.97754e-05,5.97754e-05,5.97754e-05
46,2278.96,1.06018,0.65174,0.01927,3e-05,0.57308,0.28008,0.43004,0.27861,1.65027,3.58448,0.01688,0.00085,5.82435e-05,5.82435e-05,5.82435e-05
47,2327.76,1.05586,0.65092,0.01885,1e-05,0.57143,0.29323,0.43856,0.28199,1.64295,3.55422,0.01681,0.00076,5.6704e-05,5.6704e-05,5.6704e-05
48,2376.27,1.06896,0.63379,0.01895,1e-05,0.58333,0.22368,0.40879,0.27005,1.64335,3.77833,0.01701,0.00087,5.51584e-05,5.51584e-05,5.51584e-05
49,2424.9,1.07493,0.61513,0.01699,2e-05,0.58577,0.26316,0.42918,0.27626,1.63979,3.67117,0.01687,0.00088,5.36081e-05,5.36081e-05,5.36081e-05
50,2473.82,1.01619,0.59532,0.01701,2e-05,0.59227,0.2594,0.43397,0.28581,1.63862,3.6261,0.01695,0.00094,5.20548e-05,5.20548e-05,5.20548e-05
51,2522.46,1.05357,0.64389,0.01882,2e-05,0.58776,0.27068,0.43665,0.28726,1.63136,3.59881,0.01698,0.00108,5.05e-05,5.05e-05,5.05e-05
52,2571.25,1.04242,0.6835,0.01875,1e-05,0.58547,0.25752,0.4277,0.27828,1.64292,3.6609,0.01697,0.0011,4.89452e-05,4.89452e-05,4.89452e-05
53,2620,1.0306,0.62679,0.01767,1e-05,0.56727,0.29323,0.43783,0.27789,1.63891,3.55026,0.01695,0.00088,4.73919e-05,4.73919e-05,4.73919e-05
54,2668.69,1.0447,0.61334,0.01764,2e-05,0.58419,0.31955,0.45544,0.28855,1.64707,3.50608,0.01685,0.00097,4.58416e-05,4.58416e-05,4.58416e-05
55,2717.55,1.0271,0.63095,0.0177,3e-05,0.564,0.26504,0.41997,0.26999,1.65447,3.64121,0.01693,0.00084,4.4296e-05,4.4296e-05,4.4296e-05
56,2766.32,1.04029,0.61154,0.01805,1e-05,0.56828,0.24248,0.41012,0.26779,1.65583,3.69959,0.01697,0.00089,4.27565e-05,4.27565e-05,4.27565e-05
57,2815.4,1.03928,0.62263,0.01895,1e-05,0.5531,0.23496,0.40079,0.26401,1.6481,3.75619,0.01706,0.00108,4.12246e-05,4.12246e-05,4.12246e-05
58,2864.21,1.01404,0.60382,0.01758,1e-05,0.57333,0.24248,0.4136,0.27306,1.65128,3.71618,0.01703,0.00121,3.97019e-05,3.97019e-05,3.97019e-05
59,2913.05,1.09347,0.65797,0.01883,1e-05,0.55909,0.2312,0.40528,0.26675,1.64039,3.69732,0.01724,0.0013,3.81899e-05,3.81899e-05,3.81899e-05
60,2961.89,0.99403,0.59968,0.01703,2e-05,0.56667,0.28759,0.43615,0.27948,1.65307,3.50265,0.01696,0.00095,3.66899e-05,3.66899e-05,3.66899e-05
61,3010.46,1.05107,0.62062,0.02102,2e-05,0.5679,0.34586,0.46385,0.2909,1.64753,3.4192,0.01692,0.00099,3.52037e-05,3.52037e-05,3.52037e-05
62,3059.27,1.05496,0.63597,0.01626,1e-05,0.59532,0.33459,0.4683,0.29578,1.65088,3.46224,0.01717,0.00092,3.37325e-05,3.37325e-05,3.37325e-05
63,3107.9,1.06561,0.63788,0.01889,2e-05,0.59341,0.30451,0.45084,0.28692,1.64906,3.59394,0.01703,0.00103,3.22778e-05,3.22778e-05,3.22778e-05
64,3156.45,1.0706,0.66227,0.01771,1e-05,0.60076,0.29699,0.44896,0.29142,1.65038,3.56784,0.01721,0.00109,3.08412e-05,3.08412e-05,3.08412e-05
65,3205.32,1.0428,0.59575,0.01748,1e-05,0.61603,0.27444,0.44458,0.2885,1.65133,3.64277,0.01725,0.00107,2.94239e-05,2.94239e-05,2.94239e-05
66,3254.09,1.0311,0.61888,0.01788,1e-05,0.57709,0.24624,0.41552,0.2732,1.64649,3.6619,0.01696,0.00117,2.80275e-05,2.80275e-05,2.80275e-05
67,3302.97,1.04691,0.63621,0.01882,1e-05,0.58462,0.28571,0.44081,0.28726,1.65581,3.5579,0.01707,0.00109,2.66532e-05,2.66532e-05,2.66532e-05
68,3351.77,1.04193,0.64068,0.01802,1e-05,0.58366,0.28195,0.4417,0.29159,1.64642,3.54375,0.01714,0.00111,2.53024e-05,2.53024e-05,2.53024e-05
69,3401.46,1.0459,0.61776,0.01743,1e-05,0.59701,0.30075,0.45603,0.29434,1.65568,3.51233,0.01714,0.00103,2.39766e-05,2.39766e-05,2.39766e-05
70,3450.33,1.03796,0.65325,0.01964,1e-05,0.59916,0.26692,0.43722,0.28425,1.66202,3.60896,0.01728,0.00109,2.26769e-05,2.26769e-05,2.26769e-05
71,3499.09,1.03006,0.60468,0.01876,1e-05,0.60236,0.28759,0.44938,0.29297,1.6595,3.53007,0.01742,0.00101,2.14046e-05,2.14046e-05,2.14046e-05
72,3548.08,1.07616,0.63032,0.01696,1e-05,0.6041,0.33271,0.47195,0.29869,1.65515,3.44065,0.01737,0.00102,2.01611e-05,2.01611e-05,2.01611e-05
73,3596.88,1.04493,0.62915,0.01755,1e-05,0.6124,0.29699,0.45973,0.29672,1.65152,3.48177,0.01734,0.00116,1.89475e-05,1.89475e-05,1.89475e-05
74,3645.48,1.06449,0.65671,0.01933,2e-05,0.59761,0.28195,0.44437,0.28827,1.6573,3.597,0.01728,0.00105,1.77651e-05,1.77651e-05,1.77651e-05
