epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,3335.09,0.69134,0.66288,0.1368,0.5378,0.5575,0.54351,0.20627,0.6755,0.60676,0.1422,8.713e-05,8.713e-05,8.713e-05
41,3418.33,0.6885,0.59148,0.13182,0.5268,0.5696,0.53066,0.18708,0.72865,0.58134,0.15628,8.68e-05,8.68e-05,8.68e-05
42,3500.68,0.70939,0.62423,0.1446,0.58844,0.64694,0.58008,0.2082,0.72134,0.53803,0.15225,8.647e-05,8.647e-05,8.647e-05
43,3584.14,0.69036,0.57492,0.13395,0.65785,0.65166,0.6288,0.24476,0.67117,0.56469,0.13392,8.614e-05,8.614e-05,8.614e-05
44,3667.5,0.74169,0.55574,0.14537,0.56269,0.6438,0.61455,0.25615,0.63742,0.54252,0.12803,8.581e-05,8.581e-05,8.581e-05
45,3750.94,0.68505,0.53094,0.13703,0.61419,0.69132,0.62669,0.23325,0.6995,0.51531,0.14584,8.548e-05,8.548e-05,8.548e-05
46,3833.64,0.68293,0.54593,0.13395,0.54842,0.65338,0.60611,0.23835,0.66938,0.53955,0.13838,8.515e-05,8.515e-05,8.515e-05
47,3916.26,0.67436,0.55441,0.12021,0.59535,0.64829,0.61935,0.23446,0.69765,0.53149,0.14461,8.482e-05,8.482e-05,8.482e-05
48,3997.89,0.62856,0.53805,0.1184,0.63509,0.67766,0.64125,0.24221,0.70326,0.50961,0.14667,8.449e-05,8.449e-05,8.449e-05
49,4079.78,0.66439,0.52718,0.1275,0.59087,0.67317,0.62895,0.26377,0.65354,0.52911,0.13243,8.416e-05,8.416e-05,8.416e-05
50,4163.39,0.68367,0.53688,0.1204,0.59698,0.68191,0.61356,0.24415,0.67441,0.51745,0.13843,8.383e-05,8.383e-05,8.383e-05
51,4245.46,0.65061,0.52131,0.12167,0.61725,0.70492,0.64771,0.25453,0.67685,0.51075,0.13676,8.35e-05,8.35e-05,8.35e-05
52,4327.79,0.67617,0.5157,0.1243,0.59159,0.67311,0.61547,0.24115,0.69092,0.50556,0.14203,8.317e-05,8.317e-05,8.317e-05
53,4410.32,0.65465,0.52279,0.13217,0.59328,0.66375,0.61963,0.24863,0.67358,0.53524,0.13725,8.284e-05,8.284e-05,8.284e-05
54,4492.69,0.68308,0.55497,0.13137,0.60453,0.72166,0.63432,0.2734,0.64734,0.50964,0.13269,8.251e-05,8.251e-05,8.251e-05
55,4575.46,0.67127,0.53794,0.13065,0.65916,0.69334,0.64011,0.25816,0.67564,0.52273,0.13853,8.218e-05,8.218e-05,8.218e-05
56,4658.45,0.635,0.55636,0.13068,0.57953,0.66642,0.6199,0.25518,0.67257,0.53136,0.1378,8.185e-05,8.185e-05,8.185e-05
57,4740.17,0.64122,0.52509,0.11647,0.63729,0.70007,0.65592,0.27847,0.65034,0.5111,0.13067,8.152e-05,8.152e-05,8.152e-05
58,4823.26,0.63187,0.55945,0.11416,0.67263,0.72264,0.6547,0.2658,0.67526,0.51948,0.1366,8.119e-05,8.119e-05,8.119e-05
59,4905.69,0.65442,0.52874,0.12378,0.6286,0.72562,0.65359,0.27774,0.64392,0.5191,0.12905,8.086e-05,8.086e-05,8.086e-05
60,4987.86,0.63601,0.52305,0.12325,0.59812,0.6772,0.63448,0.26428,0.65689,0.50885,0.13215,8.053e-05,8.053e-05,8.053e-05
61,5069.95,0.64963,0.53994,0.12142,0.67527,0.71599,0.66368,0.27824,0.66301,0.50453,0.13484,8.02e-05,8.02e-05,8.02e-05
62,5152.24,0.65201,0.5341,0.12721,0.54551,0.69013,0.60925,0.26186,0.64188,0.53159,0.12847,7.987e-05,7.987e-05,7.987e-05
63,5234.59,0.64102,0.56379,0.11868,0.58381,0.69469,0.63163,0.26944,0.63116,0.52712,0.1283,7.954e-05,7.954e-05,7.954e-05
64,5317.12,0.63927,0.54193,0.12635,0.66401,0.72024,0.67593,0.29211,0.63081,0.51603,0.1254,7.921e-05,7.921e-05,7.921e-05
65,5399.87,0.63342,0.5272,0.11902,0.6254,0.70746,0.65059,0.27976,0.65173,0.52442,0.12817,7.888e-05,7.888e-05,7.888e-05
66,5482.44,0.63494,0.51434,0.11873,0.6493,0.71957,0.66334,0.28943,0.64364,0.51166,0.12733,7.855e-05,7.855e-05,7.855e-05
67,5565.26,0.62463,0.52759,0.11789,0.66369,0.71284,0.67252,0.29676,0.62461,0.5185,0.12526,7.822e-05,7.822e-05,7.822e-05
68,5648.67,0.61018,0.52536,0.11139,0.63499,0.73638,0.67085,0.29459,0.62925,0.50399,0.12457,7.789e-05,7.789e-05,7.789e-05
69,5730.24,0.60813,0.51885,0.10868,0.67074,0.7579,0.6918,0.31894,0.61608,0.49546,0.12072,7.756e-05,7.756e-05,7.756e-05
70,5813.66,0.61235,0.52109,0.11002,0.66132,0.70477,0.67974,0.30727,0.61839,0.51502,0.11946,7.723e-05,7.723e-05,7.723e-05
71,5895.74,0.63321,0.50883,0.11894,0.64235,0.72562,0.67076,0.29703,0.62593,0.50379,0.12321,7.69e-05,7.69e-05,7.69e-05
72,5977.94,0.59614,0.5071,0.1143,0.64149,0.73763,0.68055,0.30844,0.61928,0.49818,0.11873,7.657e-05,7.657e-05,7.657e-05
73,6060.35,0.61887,0.50129,0.11518,0.65853,0.74849,0.69562,0.32027,0.61093,0.5037,0.11723,7.624e-05,7.624e-05,7.624e-05
74,6143.87,0.60523,0.51935,0.11074,0.67148,0.731,0.69748,0.32142,0.604,0.50592,0.1163,7.591e-05,7.591e-05,7.591e-05
75,6227.14,0.59918,0.49308,0.11708,0.66317,0.71957,0.68328,0.30812,0.62632,0.51015,0.1248,7.558e-05,7.558e-05,7.558e-05
76,6309.74,0.60078,0.51757,0.10996,0.68083,0.72875,0.69311,0.31779,0.61009,0.5013,0.11915,7.525e-05,7.525e-05,7.525e-05
77,6391.97,0.60632,0.51437,0.11601,0.65997,0.73357,0.67476,0.2998,0.63237,0.49558,0.12598,7.492e-05,7.492e-05,7.492e-05
78,6474.32,0.59093,0.50529,0.1106,0.61032,0.73773,0.67149,0.30754,0.615,0.50478,0.11693,7.459e-05,7.459e-05,7.459e-05
79,6556.63,0.61139,0.4944,0.10894,0.67085,0.72629,0.68188,0.29945,0.64239,0.48835,0.12719,7.426e-05,7.426e-05,7.426e-05
80,6638.76,0.58815,0.50614,0.10591,0.66959,0.71755,0.68018,0.30348,0.62608,0.50458,0.12208,7.393e-05,7.393e-05,7.393e-05
