epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5355,2.07337,4.9555,0.00758,0.58889,0.48564,0.5025,0.21214,1.9524,2.06267,0.00701,0.000652482,0.000652482,0.000652482
2,75.7997,2.16785,2.02059,0.0077,0.53982,0.51498,0.49293,0.19998,2.04939,2.22146,0.00783,0.0013148,0.0013148,0.0013148
3,92.7392,2.15925,1.88755,0.00743,0.56839,0.47316,0.48931,0.19544,2.15537,1.7861,0.00831,0.00197271,0.00197271,0.00197271
4,109.94,2.16854,1.83443,0.00769,0.66888,0.50687,0.55477,0.23155,2.1214,1.82565,0.00828,0.0019802,0.0019802,0.0019802
5,127.703,2.18628,1.73182,0.00773,0.64615,0.55618,0.5878,0.25154,2.11731,1.69369,0.008,0.0019736,0.0019736,0.0019736
6,145.511,2.21403,1.73658,0.00797,0.58764,0.52809,0.53312,0.21388,2.16095,2.74339,0.00838,0.001967,0.001967,0.001967
7,162.854,2.16033,1.65581,0.00766,0.65744,0.59781,0.62108,0.27255,2.02554,1.62778,0.00741,0.0019604,0.0019604,0.0019604
8,180.03,2.14755,1.55995,0.00797,0.68546,0.62848,0.65037,0.29248,1.96578,1.49906,0.0073,0.0019538,0.0019538,0.0019538
9,197.832,2.12822,1.50427,0.00751,0.72941,0.64419,0.68733,0.30322,1.98558,1.31629,0.00734,0.0019472,0.0019472,0.0019472
10,215.255,2.12582,1.44869,0.00744,0.70447,0.62297,0.66785,0.30002,1.99996,1.36569,0.00747,0.0019406,0.0019406,0.0019406
11,232.381,2.14259,1.58255,0.00735,0.60684,0.51161,0.54842,0.21359,2.17915,2.00385,0.00812,0.001934,0.001934,0.001934
12,249.657,2.08196,1.48173,0.00774,0.69397,0.60867,0.65818,0.28701,2.00935,1.66944,0.00753,0.0019274,0.0019274,0.0019274
13,266.716,2.05413,1.52149,0.00766,0.71621,0.60177,0.65703,0.29395,1.98352,1.4014,0.00733,0.0019208,0.0019208,0.0019208
14,284.051,2.095,1.46677,0.00673,0.74976,0.62734,0.69511,0.31829,1.91401,1.30103,0.00704,0.0019142,0.0019142,0.0019142
