epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9561,1.99982,2.793,0.00642,0.61017,0.49461,0.53499,0.2218,1.90131,1.87425,0.00715,0.000652482,0.000652482,0.000652482
2,74.1345,2.15315,1.97123,0.00713,0.59719,0.51749,0.53349,0.20381,2.06991,1.87231,0.00864,0.0013148,0.0013148,0.0013148
3,91.8486,2.25055,1.88838,0.00755,0.55259,0.53908,0.52903,0.19918,2.09031,2.52164,0.00894,0.00197271,0.00197271,0.00197271
4,108.597,2.23831,1.93059,0.00766,0.60951,0.56536,0.58115,0.23108,2.13258,1.91026,0.00919,0.0019802,0.0019802,0.0019802
5,126.036,2.18631,1.68437,0.00725,0.61365,0.57278,0.57892,0.24311,2.05288,2.20821,0.00869,0.0019736,0.0019736,0.0019736
6,143.501,2.21553,1.68823,0.00742,0.67838,0.60123,0.63244,0.27108,2.0492,1.56985,0.00873,0.001967,0.001967,0.001967
7,160.916,2.13488,1.56553,0.00746,0.64253,0.61253,0.62508,0.2567,2.05311,1.65566,0.00819,0.0019604,0.0019604,0.0019604
8,179.002,2.17412,1.80411,0.00791,0.64414,0.63182,0.63693,0.28169,1.9527,1.51091,0.00785,0.0019538,0.0019538,0.0019538
9,196.138,2.10018,1.54088,0.00719,0.66784,0.61792,0.63865,0.27564,2.10277,1.53721,0.00872,0.0019472,0.0019472,0.0019472
10,212.946,2.15028,1.59776,0.00727,0.66018,0.63612,0.63563,0.28119,1.93814,1.60867,0.00796,0.0019406,0.0019406,0.0019406
11,230.059,2.08285,1.47964,0.00666,0.72079,0.62332,0.65472,0.28827,2.00969,1.50293,0.00837,0.001934,0.001934,0.001934
12,247.482,2.13962,1.50693,0.00709,0.68704,0.62736,0.65793,0.29055,2.09279,1.49734,0.00863,0.0019274,0.0019274,0.0019274
13,264.195,2.06691,1.37805,0.00725,0.68354,0.67049,0.69112,0.28493,2.05368,1.4668,0.00884,0.0019208,0.0019208,0.0019208
14,281.413,2.10477,1.47734,0.00688,0.57621,0.55728,0.54444,0.21751,2.14453,2.36939,0.00869,0.0019142,0.0019142,0.0019142
15,298.217,2.16414,1.44517,0.00726,0.70493,0.70889,0.73583,0.32688,1.95439,1.36498,0.00814,0.0019076,0.0019076,0.0019076
16,315.275,2.05947,1.39975,0.00699,0.69572,0.66779,0.6953,0.32068,1.90628,1.42967,0.0077,0.001901,0.001901,0.001901
17,331.168,2.03071,1.43519,0.00699,0.70593,0.66969,0.70746,0.33085,1.87195,1.44749,0.00758,0.0018944,0.0018944,0.0018944
18,348.013,2.07956,1.52841,0.00705,0.74504,0.65162,0.69433,0.3075,1.98285,1.4422,0.00805,0.0018878,0.0018878,0.0018878
19,365.09,2.07383,1.48064,0.00689,0.67276,0.54305,0.60981,0.26544,2.01724,1.77129,0.00813,0.0018812,0.0018812,0.0018812
20,381.087,2.02736,1.43393,0.00673,0.72271,0.69811,0.71294,0.32016,1.89393,1.35702,0.00758,0.0018746,0.0018746,0.0018746
21,397.699,1.96838,1.33163,0.00663,0.68593,0.6469,0.66848,0.31049,1.93475,nan,0.00795,0.001868,0.001868,0.001868
22,414.729,2.04182,1.41979,0.0069,0.74769,0.69474,0.74549,0.35532,1.82864,1.41215,0.0072,0.0018614,0.0018614,0.0018614
23,431.837,1.95893,1.29187,0.0063,0.73841,0.68286,0.73277,0.34973,1.88057,1.31153,0.00759,0.0018548,0.0018548,0.0018548
24,447.962,2.03269,1.35223,0.00681,0.73032,0.67453,0.72648,0.3402,1.89079,1.35169,0.00775,0.0018482,0.0018482,0.0018482
25,464.842,2.03923,1.37757,0.00622,0.69901,0.69811,0.72263,0.33845,1.91995,1.28089,0.00788,0.0018416,0.0018416,0.0018416
26,480.965,1.99167,1.27357,0.00639,0.7409,0.69879,0.73288,0.34572,1.91722,1.3503,0.00771,0.001835,0.001835,0.001835
27,496.848,1.97065,1.24265,0.00627,0.74443,0.6907,0.73047,0.33753,1.88315,1.31454,0.00755,0.0018284,0.0018284,0.0018284
28,513.161,1.95495,1.25842,0.00597,0.74107,0.68598,0.7219,0.33422,1.91162,1.32136,0.00758,0.0018218,0.0018218,0.0018218
29,528.84,1.99184,1.3142,0.00665,0.75886,0.72911,0.75252,0.35266,1.89028,nan,0.00749,0.0018152,0.0018152,0.0018152
30,546.166,2.01492,1.27404,0.00667,0.7477,0.69407,0.73674,0.3519,1.89994,1.33333,0.00771,0.0018086,0.0018086,0.0018086
31,562.123,1.95871,1.26725,0.00648,0.68773,0.66846,0.68876,0.31222,1.91818,1.47391,0.00759,0.001802,0.001802,0.001802
32,578.336,1.93629,1.22667,0.00632,0.76825,0.70755,0.74126,0.35138,1.88302,1.24435,0.00744,0.0017954,0.0017954,0.0017954
33,594.601,1.94776,1.20761,0.00633,0.69994,0.57817,0.63184,0.28178,1.94483,1.62283,0.00776,0.0017888,0.0017888,0.0017888
34,611.177,1.9487,1.19191,0.00639,0.72762,0.70957,0.74104,0.35505,1.9071,1.50529,0.00755,0.0017822,0.0017822,0.0017822
35,628.128,1.90968,1.24983,0.00632,0.72236,0.69474,0.73009,0.34675,1.90318,1.29784,0.00747,0.0017756,0.0017756,0.0017756
36,645.465,1.93317,1.2536,0.0062,0.71931,0.68261,0.71959,0.34954,1.88069,1.45234,0.00751,0.001769,0.001769,0.001769
37,663.693,1.92922,1.21215,0.00661,0.7447,0.73518,0.75189,0.3718,1.81629,1.28104,0.00727,0.0017624,0.0017624,0.0017624
38,680.516,1.88344,1.19344,0.0062,0.77743,0.69744,0.76335,0.36827,1.83685,1.20805,0.00728,0.0017558,0.0017558,0.0017558
39,697.657,1.93244,1.2403,0.00641,0.75484,0.71024,0.75848,0.36336,1.81308,1.22271,0.00696,0.0017492,0.0017492,0.0017492
40,714.968,1.92106,1.16191,0.00608,0.7166,0.70822,0.72822,0.35648,1.80506,1.31851,0.00717,0.0017426,0.0017426,0.0017426
41,732.912,1.91601,1.214,0.00622,0.7374,0.73113,0.75866,0.36287,1.83782,1.24812,0.00728,0.001736,0.001736,0.001736
42,751.903,1.86035,1.13497,0.00602,0.78202,0.72237,0.77697,0.37538,1.86555,1.20398,0.00736,0.0017294,0.0017294,0.0017294
43,769.015,1.91788,1.21359,0.00635,0.74676,0.75943,0.77898,0.37506,1.85716,1.18263,0.00745,0.0017228,0.0017228,0.0017228
44,785.219,1.97757,1.24949,0.00643,0.71399,0.6779,0.71811,0.32737,1.88275,1.47097,0.00753,0.0017162,0.0017162,0.0017162
45,802.045,1.87709,1.11858,0.00666,0.71986,0.68223,0.72382,0.3523,1.87536,1.30422,0.00731,0.0017096,0.0017096,0.0017096
46,817.936,1.8868,1.13972,0.00618,0.74697,0.74597,0.76264,0.37983,1.87074,1.17883,0.00727,0.001703,0.001703,0.001703
47,835.672,1.89249,1.11848,0.00616,0.76557,0.71958,0.76305,0.37933,1.81885,1.22469,0.00716,0.0016964,0.0016964,0.0016964
48,851.687,1.88047,1.18649,0.00593,0.75085,0.71294,0.74849,0.35542,1.87774,1.39436,0.00752,0.0016898,0.0016898,0.0016898
49,867.77,1.88639,1.14706,0.00585,0.77086,0.71968,0.7703,0.38623,1.85121,1.2233,0.00734,0.0016832,0.0016832,0.0016832
50,884.079,1.89677,1.16484,0.00634,0.73846,0.72507,0.75463,0.37109,1.85255,1.30371,0.00725,0.0016766,0.0016766,0.0016766
51,900.649,1.87075,1.16899,0.00611,0.77473,0.72439,0.77527,0.37446,1.83476,1.2171,0.00729,0.00167,0.00167,0.00167
52,917.317,1.84406,1.09725,0.00591,0.75138,0.72093,0.76347,0.37253,1.8692,1.21171,0.0072,0.0016634,0.0016634,0.0016634
53,934.478,1.90428,1.19273,0.00583,0.73165,0.72372,0.74794,0.36517,1.84729,1.3398,0.00726,0.0016568,0.0016568,0.0016568
54,951.478,1.83976,1.12773,0.00601,0.79211,0.70485,0.76943,0.37482,1.82187,1.32266,0.00722,0.0016502,0.0016502,0.0016502
55,968.168,1.86468,1.12182,0.00589,0.76901,0.75337,0.77953,0.38291,1.84759,1.12498,0.00718,0.0016436,0.0016436,0.0016436
56,987.167,1.92746,1.17541,0.0059,0.77136,0.73883,0.78245,0.39649,1.78851,1.19858,0.0069,0.001637,0.001637,0.001637
57,1005.49,1.76742,1.08448,0.006,0.76751,0.74968,0.78469,0.39086,1.82236,1.16763,0.00727,0.0016304,0.0016304,0.0016304
58,1021.71,1.79732,1.08254,0.00599,0.77263,0.75337,0.78759,0.3887,1.81544,1.22653,0.00721,0.0016238,0.0016238,0.0016238
59,1038.32,1.80977,1.11688,0.00609,0.77758,0.73248,0.76411,0.35638,1.92248,1.28864,0.00762,0.0016172,0.0016172,0.0016172
60,1054.96,1.85394,1.07896,0.00564,0.75702,0.71563,0.75802,0.37288,1.82305,1.23335,0.00712,0.0016106,0.0016106,0.0016106
61,1072.65,1.85955,1.08464,0.00568,0.75782,0.71226,0.77434,0.38843,1.80087,1.31114,0.00713,0.001604,0.001604,0.001604
62,1088.83,1.83943,1.09884,0.00578,0.75981,0.73114,0.7798,0.39273,1.82328,1.22219,0.0071,0.0015974,0.0015974,0.0015974
63,1106.38,1.81064,1.05701,0.00594,0.73417,0.70485,0.72116,0.35217,1.9075,1.32274,0.00766,0.0015908,0.0015908,0.0015908
64,1125.34,1.81251,1.06501,0.00602,0.7752,0.75067,0.79689,0.4034,1.84388,1.09786,0.00733,0.0015842,0.0015842,0.0015842
65,1143.79,1.85875,1.04956,0.00577,0.79087,0.73989,0.79107,0.38848,1.86976,1.16616,0.0074,0.0015776,0.0015776,0.0015776
66,1160.53,1.82403,1.1149,0.00581,0.7558,0.74865,0.77098,0.39156,1.85545,1.2096,0.00738,0.001571,0.001571,0.001571
67,1176.97,1.85048,1.15516,0.00611,0.77447,0.73315,0.78874,0.39465,1.81024,1.13609,0.00714,0.0015644,0.0015644,0.0015644
68,1193.65,1.78009,1.06052,0.00584,0.80796,0.74326,0.78895,0.39542,1.8583,1.14426,0.00719,0.0015578,0.0015578,0.0015578
69,1210.75,1.85412,1.09769,0.00599,0.73766,0.70148,0.74193,0.37003,1.83419,1.36586,0.00726,0.0015512,0.0015512,0.0015512
70,1227.88,1.85461,1.11856,0.00599,0.80774,0.72759,0.79093,0.39411,1.83384,1.20967,0.00718,0.0015446,0.0015446,0.0015446
71,1244.72,1.79239,1.03581,0.00599,0.75507,0.73122,0.76919,0.38361,1.83961,1.25359,0.00718,0.001538,0.001538,0.001538
72,1261.5,1.82472,1.0533,0.00545,0.75961,0.7655,0.79814,0.40777,1.77864,1.13195,0.00686,0.0015314,0.0015314,0.0015314
73,1279.79,1.79158,0.99733,0.00598,0.79194,0.74637,0.80222,0.41357,1.7866,1.14005,0.00697,0.0015248,0.0015248,0.0015248
74,1296.99,1.83618,1.07804,0.00576,0.79348,0.7527,0.79953,0.40059,1.79939,1.14491,0.00711,0.0015182,0.0015182,0.0015182
75,1313.37,1.79797,1.03001,0.00576,0.74256,0.75472,0.78035,0.38898,1.82428,1.22439,0.00704,0.0015116,0.0015116,0.0015116
76,1330.59,1.78734,1.02625,0.00592,0.71367,0.72102,0.7409,0.37115,1.86874,1.26991,0.00739,0.001505,0.001505,0.001505
77,1347.43,1.79543,1.05514,0.00551,0.78836,0.73248,0.78861,0.40021,1.83615,1.15029,0.00718,0.0014984,0.0014984,0.0014984
78,1366.5,1.79067,0.98583,0.00567,0.80747,0.74893,0.80848,0.41188,1.77103,1.07561,0.00692,0.0014918,0.0014918,0.0014918
79,1383.59,1.77501,1.00696,0.0058,0.77247,0.75067,0.78941,0.39466,1.79595,1.17015,0.00696,0.0014852,0.0014852,0.0014852
80,1401.4,1.80372,1.02486,0.00585,0.81035,0.72978,0.79197,0.40403,1.8619,1.14474,0.00745,0.0014786,0.0014786,0.0014786
81,1418.61,1.79307,1.04128,0.00566,0.763,0.71024,0.77142,0.38262,1.8208,1.25754,0.0071,0.001472,0.001472,0.001472
