epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
35,1748.45,1.1136,0.71781,0.01705,5e-05,0.54198,0.26692,0.41046,0.2677,1.6191,3.71141,0.01682,0.00158,7.43468e-05,7.43468e-05,7.43468e-05
36,1796.97,1.04957,0.68461,0.01878,2e-05,0.5371,0.28571,0.4206,0.27622,1.62712,3.60353,0.01705,0.00108,7.29725e-05,7.29725e-05,7.29725e-05
37,1845.42,1.04126,0.65157,0.01557,2e-05,0.56574,0.26692,0.42137,0.27429,1.60868,3.62233,0.01665,0.00132,7.15761e-05,7.15761e-05,7.15761e-05
38,1894.04,1.05386,0.66444,0.01918,2e-05,0.55469,0.26692,0.41209,0.26588,1.62023,3.66687,0.01683,0.00137,7.01588e-05,7.01588e-05,7.01588e-05
39,1942.61,1.05171,0.6121,0.01754,1e-05,0.50694,0.27444,0.39635,0.25505,1.61696,3.63905,0.01676,0.0016,6.87222e-05,6.87222e-05,6.87222e-05
40,1991.25,1.04752,0.63305,0.01712,2e-05,0.49339,0.21053,0.35543,0.2316,1.62545,3.83463,0.01672,0.0019,6.72675e-05,6.72675e-05,6.72675e-05
41,2040.07,1.05324,0.64185,0.01789,1e-05,0.49744,0.18233,0.33993,0.22117,1.64625,4.01401,0.01685,0.00131,6.57963e-05,6.57963e-05,6.57963e-05
42,2088.46,1.0708,0.68727,0.02022,2e-05,0.5419,0.18233,0.36277,0.23445,1.64524,4.00411,0.01677,0.00165,6.43101e-05,6.43101e-05,6.43101e-05
43,2137.02,1.09668,0.72364,0.0183,2e-05,0.49174,0.22368,0.3599,0.23325,1.6301,3.80162,0.01686,0.00126,6.28101e-05,6.28101e-05,6.28101e-05
44,2185.71,1.05365,0.63004,0.01798,1e-05,0.47147,0.29511,0.39326,0.24096,1.62867,3.52848,0.01669,0.00114,6.12981e-05,6.12981e-05,6.12981e-05
45,2234.31,1.01789,0.64525,0.01883,3e-05,0.4664,0.2218,0.34902,0.22598,1.6232,3.72562,0.01648,0.00125,5.97754e-05,5.97754e-05,5.97754e-05
46,2283.16,1.06699,0.65102,0.01927,4e-05,0.47744,0.23872,0.36234,0.234,1.651,3.65802,0.01684,0.00123,5.82435e-05,5.82435e-05,5.82435e-05
47,2332.14,1.05903,0.64539,0.0188,8e-05,0.48944,0.26128,0.3789,0.23959,1.6291,3.65551,0.01705,0.00118,5.6704e-05,5.6704e-05,5.6704e-05
48,2380.57,1.07113,0.63601,0.019,2e-05,0.44395,0.18609,0.32189,0.21375,1.62835,3.83883,0.01667,0.00133,5.51584e-05,5.51584e-05,5.51584e-05
49,2429.14,1.07691,0.613,0.01693,3e-05,0.5,0.21992,0.36227,0.23871,1.635,3.7734,0.01679,0.00135,5.36081e-05,5.36081e-05,5.36081e-05
50,2477.94,1.02067,0.59402,0.01701,4e-05,0.43023,0.20865,0.32299,0.21197,1.64369,3.71308,0.01673,0.00133,5.20548e-05,5.20548e-05,5.20548e-05
51,2526.46,1.05663,0.64654,0.01873,4e-05,0.40214,0.21241,0.31142,0.20492,1.6464,3.70954,0.01687,0.00158,5.05e-05,5.05e-05,5.05e-05
52,2575.24,1.04936,0.68128,0.0189,4e-05,0.48511,0.21429,0.3491,0.2271,1.6314,3.77231,0.01698,0.00176,4.89452e-05,4.89452e-05,4.89452e-05
53,2624.21,1.03539,0.62891,0.01769,2e-05,0.50877,0.27256,0.39344,0.2458,1.63081,3.60518,0.01707,0.0017,4.73919e-05,4.73919e-05,4.73919e-05
54,2672.62,1.05162,0.61354,0.01764,4e-05,0.49524,0.29323,0.4015,0.24913,1.62325,3.58065,0.01696,0.00147,4.58416e-05,4.58416e-05,4.58416e-05
55,2721.07,1.03322,0.62713,0.01771,3e-05,0.46025,0.20677,0.342,0.22424,1.62439,3.72899,0.01715,0.00163,4.4296e-05,4.4296e-05,4.4296e-05
