Ep 6 | B 70 | Src:16.84 | Psd:70.22 | PLs:30 | λ:0.030 | Conf:0.69 | LR:9.91e-05
Ep 6 | B 80 | Src:15.83 | Psd:72.31 | PLs:30 | λ:0.030 | Conf:0.69 | LR:9.91e-05
Ep 6 | B 90 | Src:17.61 | Psd:70.22 | PLs:30 | λ:0.030 | Conf:0.69 | LR:9.91e-05
Ep 7 | B 0 | Src:11.88 | Psd:73.98 | PLs:31 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 10 | Src:15.27 | Psd:73.11 | PLs:32 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 20 | Src:12.19 | Psd:73.23 | PLs:29 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 30 | Src:17.98 | Psd:71.78 | PLs:28 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 40 | Src:12.13 | Psd:66.37 | PLs:29 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 50 | Src:14.01 | Psd:67.08 | PLs:27 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 60 | Src:10.75 | Psd:72.28 | PLs:27 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 70 | Src:14.56 | Psd:72.71 | PLs:27 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 80 | Src:14.03 | Psd:68.13 | PLs:29 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 7 | B 90 | Src:14.62 | Psd:67.87 | PLs:28 | λ:0.035 | Conf:0.69 | LR:9.88e-05
Ep 8 | B 0 | Src:17.36 | Psd:70.00 | PLs:32 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 10 | Src:12.22 | Psd:69.53 | PLs:31 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 20 | Src:12.63 | Psd:70.61 | PLs:32 | λ:0.040 | Conf:0.68 | LR:9.84e-05
